CaseNumber,Background,PatientTreated,Scenario,Risk aversion,Mission,Treatment 1,Treatment 2,Treatment 3,Treatment 4,Treatment 5,Treatment 6,"if Casualty A then treatment 1, treatment 2, treatment 3","if Casualty B then treatment 1, treatment 2, treatment 3","if Casualty C then treatment 1, treatment 2, treatment 3","if Casualty D then treatment 4, treatment 5, treatment 6","if Casualty E then treatment 4, treatment 5, treatment 6","if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6",if safe area then treatment 1 survival rate is high,if safe then exclude the highest,if danger then exclude the lowest,if low risk then favor higher,if high risk then favor lower,M Risk aversion,M Mission,Average difference,new Decision,Decision,Labels,Decision Supported by Label
23,1,5,1,8,7,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,9,6,1.4142135623730951,3,3,"['if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if low risk then favor higher']",5
24,2,0,0,6,9,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,9,6,4.242640687119285,0,0,"['if Casualty A then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
25,2,0,1,6,9,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,6,4.242640687119285,1,1,"['if Casualty A then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if low risk then favor higher']",2
26,2,1,0,6,9,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,9,6,4.242640687119285,0,0,"['if Casualty B then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
27,2,1,1,6,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,9,6,4.242640687119285,1,1,"['if Casualty B then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if low risk then favor higher']",2
28,2,2,0,6,9,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,9,6,4.242640687119285,0,0,"['if Casualty C then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
29,2,2,1,6,9,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,9,6,4.242640687119285,1,1,"['if Casualty C then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if low risk then favor higher']",2
30,2,3,0,6,9,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,9,6,4.242640687119285,3,3,"['if Casualty D then treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
31,2,3,1,6,9,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,9,6,4.242640687119285,4,4,"['if Casualty D then treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if low risk then favor higher']",5
32,2,4,0,6,9,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,9,6,4.242640687119285,3,3,"['if Casualty E then treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
33,2,4,1,6,9,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,9,6,4.242640687119285,4,4,"['if Casualty E then treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if low risk then favor higher']",5
34,2,5,0,6,9,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,9,6,4.242640687119285,1,1,"['if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
35,2,5,1,6,9,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,9,6,4.242640687119285,3,3,"['if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if low risk then favor higher']",5
36,3,0,0,1,5,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,4,1.0,1,1,"['if Casualty A then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
37,3,0,1,1,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,4,1.0,2,2,"['if Casualty A then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if high risk then favor lower']",0
38,3,1,0,1,5,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,4,1.0,1,1,"['if Casualty B then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
39,3,1,1,1,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,4,1.0,2,2,"['if Casualty B then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if high risk then favor lower']",0
40,3,2,0,1,5,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,4,1.0,1,1,"['if Casualty C then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
41,3,2,1,1,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,4,1.0,2,2,"['if Casualty C then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if high risk then favor lower']",0
42,3,3,0,1,5,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,4,1.0,4,4,"['if Casualty D then treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
43,3,3,1,1,5,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,4,1.0,5,5,"['if Casualty D then treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if high risk then favor lower']",3
44,3,4,0,1,5,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,4,1.0,4,4,"['if Casualty E then treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
45,3,4,1,1,5,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,4,1.0,5,5,"['if Casualty E then treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if high risk then favor lower']",3
46,3,5,0,1,5,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,4,1.0,3,2,"['if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
47,3,5,1,1,5,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,4,1.0,5,4,"['if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if high risk then favor lower']",1
48,4,0,0,2,4,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,4,1.0,1,1,"['if Casualty A then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
49,4,0,1,2,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,4,1.0,2,2,"['if Casualty A then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if high risk then favor lower']",0
50,4,1,0,2,4,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,4,1.0,1,1,"['if Casualty B then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
51,4,1,1,2,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,4,1.0,2,2,"['if Casualty B then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if high risk then favor lower']",0
52,4,2,0,2,4,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,4,1.0,1,1,"['if Casualty C then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
53,4,2,1,2,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,4,1.0,2,2,"['if Casualty C then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if high risk then favor lower']",0
54,4,3,0,2,4,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,4,1.0,4,4,"['if Casualty D then treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
55,4,3,1,2,4,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,4,1.0,5,5,"['if Casualty D then treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if high risk then favor lower']",3
56,4,4,0,2,4,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,4,1.0,4,4,"['if Casualty E then treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
57,4,4,1,2,4,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,4,1.0,5,5,"['if Casualty E then treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if high risk then favor lower']",3
58,4,5,0,2,4,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,4,1.0,3,2,"['if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
59,4,5,1,2,4,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,4,1.0,5,4,"['if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if high risk then favor lower']",1
60,5,0,0,1,4,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,4,1.0,1,1,"['if Casualty A then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
61,5,0,1,1,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,4,1.0,2,2,"['if Casualty A then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if high risk then favor lower']",0
62,5,1,0,1,4,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,4,1.0,1,1,"['if Casualty B then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
63,5,1,1,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,4,1.0,2,2,"['if Casualty B then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if high risk then favor lower']",0
64,5,2,0,1,4,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,4,1.0,1,1,"['if Casualty C then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
65,5,2,1,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,4,1.0,2,2,"['if Casualty C then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if high risk then favor lower']",0
66,5,3,0,1,4,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,2,4,1.0,4,4,"['if Casualty D then treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
67,5,3,1,1,4,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,2,4,1.0,5,5,"['if Casualty D then treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if high risk then favor lower']",3
68,5,4,0,1,4,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,2,4,1.0,4,4,"['if Casualty E then treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
69,5,4,1,1,4,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,2,4,1.0,5,5,"['if Casualty E then treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if high risk then favor lower']",3
70,5,5,0,1,4,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,2,4,1.0,2,3,"['if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if high risk then favor lower']",0
71,5,5,1,1,4,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,2,4,1.0,4,5,"['if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if high risk then favor lower']",1
