children_under_4,children_under_12,children_under_18,children_under_26,employment_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,probe_id,serial,probe,network_status,expense_type,val1,val2,val3,val4,action,plan,estimate_medical_visits,risk_aversion,choice,kdma_depends_on,persona
0,1,0,1,Salaried,4259,1,Rents,1,8,6,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,0,1,Salaried,4138,0,Owns,9,2,1,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,0,1,Bonus,2742,0,Owns,10,10,2,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,1,Bonus,4027,1,Rents,3,4,3,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,0,0,Bonus,3643,0,Rents,8,2,25,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,0,Salaried,1855,0,Rents,9,10,10,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,0,Bonus,4199,0,Owns,7,7,6,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,0,Salaried,358,0,Rents,5,5,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,0,Salaried,2175,0,Owns,8,10,8,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,0,Bonus,2804,0,Owns,4,0,4,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,1,1,0,Bonus,2793,1,Owns,9,9,1,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,0,Salaried,1366,0,Owns,7,4,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,1,1,Salaried,3990,0,Rents,6,1,2,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Salaried,1625,0,Owns,8,6,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,1,0,0,Hourly,1178,0,Owns,0,1,13,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Hourly,2665,0,Rents,2,3,4,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,1,1,0,Hourly,4144,0,Owns,3,2,0,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,0,Hourly,2547,1,Owns,7,5,12,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,0,Hourly,152,1,Owns,8,6,13,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Bonus,2909,1,Rents,3,4,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,1,0,0,Bonus,2404,1,Owns,5,4,8,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,1,Bonus,144,1,Owns,4,9,4,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,0,Hourly,2250,0,Owns,4,7,9,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,0,0,Hourly,4826,0,Owns,4,5,23,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,1,0,0,Salaried,792,0,Owns,5,1,9,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,0,Hourly,3429,0,Rents,8,8,6,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,0,Hourly,1596,1,Owns,5,2,1,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,1,1,0,Salaried,83,1,Owns,2,10,2,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,1,0,1,Salaried,3601,0,Owns,1,4,3,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,1,Bonus,861,0,Owns,8,2,25,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,1,1,Salaried,2240,1,Rents,8,10,10,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Hourly,2384,0,Rents,1,7,6,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Bonus,2363,1,Rents,6,5,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,0,Salaried,4539,0,Owns,3,10,8,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Bonus,489,0,Rents,3,0,4,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,1,Bonus,4623,1,Owns,2,9,1,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Salaried,153,1,Owns,0,4,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,1,0,Salaried,3954,0,Owns,1,1,2,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Salaried,4742,0,Rents,0,6,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Hourly,3289,0,Rents,8,1,13,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Bonus,3409,1,Rents,6,3,4,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,0,Bonus,3179,0,Rents,2,2,0,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Bonus,4271,0,Rents,3,5,12,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Hourly,4605,1,Rents,4,6,13,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,1,1,Salaried,3042,1,Rents,1,4,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,1,0,Hourly,170,0,Rents,9,4,8,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,1,Salaried,2062,0,Rents,2,9,4,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,1,Bonus,1962,0,Rents,0,7,9,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Bonus,1006,0,Owns,5,5,23,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,1,Salaried,4555,0,Rents,2,1,9,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,0,Bonus,458,0,Rents,4,8,6,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,0,Hourly,1593,0,Owns,0,2,1,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,0,Hourly,4519,1,Owns,4,10,2,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,0,Bonus,2639,0,Rents,0,4,3,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,0,Hourly,2563,1,Rents,8,2,25,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,1,Bonus,2810,1,Owns,8,10,10,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,1,Hourly,2954,1,Owns,10,7,6,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,0,Hourly,2299,1,Owns,6,5,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,1,Hourly,1155,0,Rents,1,10,8,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,0,Bonus,1856,1,Rents,7,0,4,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,1,0,0,Salaried,3352,1,Rents,1,9,1,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,0,0,Hourly,3735,1,Owns,8,4,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,0,1,Salaried,1125,1,Rents,1,1,2,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,0,Bonus,4695,0,Owns,0,6,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,1,Salaried,1210,0,Rents,9,1,13,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,1,1,0,Bonus,3149,0,Owns,1,3,4,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,0,0,Bonus,3757,0,Rents,1,2,0,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,1,Salaried,4038,1,Rents,5,5,12,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,1,Bonus,381,0,Owns,2,6,13,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Hourly,2879,1,Rents,9,4,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,0,Hourly,2246,0,Owns,9,4,8,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,0,Hourly,3337,0,Rents,1,9,4,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,0,0,Hourly,874,0,Owns,9,7,9,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,0,Hourly,4470,1,Owns,0,5,23,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,0,Hourly,3252,1,Owns,4,1,9,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,0,Hourly,176,1,Rents,3,8,6,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,0,Hourly,3681,1,Owns,1,2,1,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,1,1,Hourly,1019,1,Owns,8,10,2,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,1,0,Bonus,4493,1,Owns,10,4,3,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,1,0,Salaried,1012,1,Owns,8,2,25,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Bonus,1248,1,Rents,1,10,10,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Salaried,1214,0,Owns,1,7,6,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,0,0,Salaried,2852,1,Rents,1,5,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Bonus,1440,1,Owns,4,10,8,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,0,Bonus,2951,0,Owns,4,0,4,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
2,1,0,2,Salaried,4377,0,Rents,10,19,27,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,1,1,0,Salaried,1919,0,Owns,10,15,31,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,0,0,Salaried,4671,1,Rents,15,12,28,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
2,1,0,0,Bonus,1139,0,Owns,13,16,31,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,2,1,Bonus,3085,0,Rents,9,12,39,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,1,2,0,Salaried,912,1,Rents,16,14,30,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,0,2,1,Hourly,3561,1,Owns,12,13,26,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,2,0,0,Hourly,4350,0,Rents,7,16,37,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
2,2,1,2,Salaried,3664,0,Owns,7,16,39,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,0,0,1,Bonus,1972,1,Owns,17,14,30,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,0,2,2,Salaried,1235,1,Rents,14,14,34,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,2,0,1,Bonus,2294,1,Owns,10,19,30,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,1,2,0,Salaried,4592,1,Rents,16,17,35,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,0,1,1,Hourly,2183,1,Owns,6,15,48,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,2,1,Salaried,1622,1,Rents,8,12,35,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,2,1,2,Salaried,4259,1,Rents,6,18,32,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
2,1,1,2,Salaried,4138,0,Owns,17,13,27,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
2,0,1,2,Bonus,2742,0,Owns,17,20,28,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,0,2,Bonus,4027,1,Rents,8,14,29,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,0,0,Bonus,3643,0,Rents,16,13,50,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,0,2,0,Salaried,1855,0,Rents,17,20,35,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,2,0,1,Bonus,4199,0,Owns,14,17,32,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,2,1,0,Salaried,358,0,Rents,12,16,31,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,1,1,Salaried,2175,0,Owns,16,20,34,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,0,0,Bonus,2804,0,Owns,11,11,30,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
2,1,2,1,Bonus,2793,1,Owns,17,19,27,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
2,0,2,0,Salaried,1366,0,Owns,14,15,31,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,1,1,2,Salaried,3990,0,Rents,13,12,28,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,1,1,0,Salaried,1625,0,Owns,16,16,31,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,2,0,0,Hourly,1178,0,Owns,5,12,39,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,0,0,Hourly,2665,0,Rents,8,14,30,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,2,0,Hourly,4144,0,Owns,9,13,26,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,2,0,Hourly,2547,1,Owns,14,16,37,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,1,0,Hourly,152,1,Owns,15,16,39,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,0,0,0,Bonus,2909,1,Rents,9,14,30,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
2,2,1,1,Bonus,2404,1,Owns,11,14,34,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
2,0,1,2,Bonus,144,1,Owns,10,19,30,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
2,0,1,0,Hourly,2250,0,Owns,11,17,35,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
2,0,0,0,Hourly,4826,0,Owns,10,15,48,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,0,0,Salaried,792,0,Owns,12,12,35,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,2,0,1,Hourly,3429,0,Rents,15,18,32,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,2,0,1,Hourly,1596,1,Owns,11,13,27,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,2,0,Salaried,83,1,Owns,7,20,28,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,2,0,2,Salaried,3601,0,Owns,6,14,29,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,0,1,Bonus,861,0,Owns,15,13,50,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,2,2,2,Salaried,2240,1,Rents,15,20,35,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,0,0,0,Hourly,2384,0,Rents,6,17,32,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,0,0,0,Bonus,2363,1,Rents,12,16,31,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,2,0,Salaried,4539,0,Owns,10,20,34,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,1,0,0,Bonus,489,0,Rents,9,11,30,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,2,0,2,Bonus,4623,1,Owns,7,19,27,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
1,0,0,0,Salaried,153,1,Owns,5,15,31,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,2,2,1,Salaried,3954,0,Owns,6,12,28,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,1,0,0,Salaried,4742,0,Rents,5,16,31,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,0,0,1,Hourly,3289,0,Rents,15,12,39,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,0,1,1,Bonus,3409,1,Rents,13,14,30,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
0,0,2,1,Bonus,3179,0,Rents,8,13,26,1,2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,10,low,low,RISK,1
