children_under_4,children_under_12,children_under_18,children_under_26,employee_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,probe,network_status,expense_type,action,predicted_kdma,probe_id,val1,val2,val3,val4,risk_aversion,choice
0,1,0,1,Salaried,4555,No,Rents,2,1,9,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,200,2.8280652413299532e-05,12,200,40,25,0,low,low
0,0,0,1,Bonus,381,No,Owns,2,6,13,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,2.79634091797662e-05,10,120,100,60,0,low,low
4,4,4,3,Salaried,83,Yes,Owns,40,75,77,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,2.5663656075328865e-05,18,20,15,10,10,low,low
4,4,4,4,Salaried,3664,No,Owns,39,65,88,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,2.4236567746019316e-05,1,1600,600,200,0,low,low
3,2,4,4,Salaried,1235,Yes,Rents,55,60,83,DEDUCTIBLE,IN-NETWORK,COST IN $,600,2.3963906922034956e-05,2,1600,600,200,0,low,low
2,1,0,0,Bonus,1139,No,Owns,13,16,31,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.3766345839921207e-05,15,50,70,70,80,low,low
4,4,4,2,Bonus,3149,No,Owns,37,58,79,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,4000,2.4110832034698112e-05,5,6450,4000,2000,1500,low,low
1,0,2,2,Salaried,1235,Yes,Rents,14,14,34,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,6450,2.425644003401614e-05,5,6450,4000,2000,1500,low,low
3,3,3,2,Bonus,2793,Yes,Owns,39,48,52,DEDUCTIBLE,IN-NETWORK,COST IN $,600,2.824689021193044e-05,2,1600,600,200,0,low,low
0,0,1,0,Salaried,2175,No,Owns,8,10,8,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,2.830468533650355e-05,1,1600,600,200,0,low,low
1,1,2,0,Hourly,4144,No,Owns,9,13,26,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,200,2.4013041402609208e-05,11,200,100,10,0,low,low
1,2,3,2,Bonus,2810,Yes,Owns,35,49,60,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,40,2.8124967375437863e-05,8,80,40,20,15,low,low
3,2,4,4,Salaried,1235,Yes,Rents,55,60,83,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,2.479881030727645e-05,17,50,70,80,100,low,low
1,2,1,1,Hourly,4470,Yes,Owns,16,35,73,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,60,2.8580676726330884e-05,13,50,60,70,80,low,low
3,4,4,4,Bonus,2810,Yes,Owns,58,74,85,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,4000,2.3990034442176883e-05,4,6450,4000,1500,1000,low,low
2,4,4,4,Salaried,2240,Yes,Rents,59,74,85,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,50,2.381091756557092e-05,16,75,50,30,0,low,low
1,1,0,2,Bonus,4027,Yes,Rents,8,14,29,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,2.405683398433397e-05,10,120,100,60,0,low,low
1,1,1,3,Bonus,4027,Yes,Rents,21,31,54,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,2.837937419405912e-05,12,200,40,25,0,low,low
3,4,4,2,Salaried,1012,Yes,Owns,58,56,100,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,4000,2.41094014368119e-05,4,6450,4000,1500,1000,low,low
1,3,3,3,Salaried,2240,Yes,Rents,35,49,60,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,100,2.825814686274236e-05,10,120,100,60,0,low,low
0,0,1,1,Hourly,1155,No,Rents,1,10,8,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,200,2.8224709862709696e-05,12,200,40,25,0,low,low
1,1,0,0,Salaried,792,No,Owns,5,1,9,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,100,2.808065543365223e-05,20,100,50,30,10,low,low
1,1,0,0,Bonus,489,No,Rents,9,11,30,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,200,2.4266879486386653e-05,11,200,100,10,0,low,low
2,2,2,3,Hourly,3289,No,Rents,59,54,88,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,2.433479982729589e-05,12,200,40,25,0,low,low
0,1,1,0,Bonus,4493,Yes,Owns,10,4,3,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,2.8280416836446108e-05,1,1600,600,200,0,low,low
1,0,0,1,Salaried,1125,Yes,Rents,1,1,2,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,2.814227377158792e-05,10,120,100,60,0,low,low
0,0,1,0,Hourly,2563,Yes,Rents,8,2,25,DEDUCTIBLE,IN-NETWORK,COST IN $,1600,2.829259813784212e-05,2,1600,600,200,0,low,low
4,3,3,4,Hourly,874,No,Owns,63,68,84,DEDUCTIBLE,IN-NETWORK,COST IN $,600,2.4344167656361775e-05,2,1600,600,200,0,low,low
1,0,1,0,Bonus,2951,No,Owns,4,0,4,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,80,2.8234007484198338e-05,8,80,40,20,15,low,low
3,1,2,1,Hourly,2250,No,Owns,26,41,60,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,40,2.822424218314201e-05,8,80,40,20,15,low,low
1,1,1,1,Bonus,1006,No,Owns,27,35,73,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,2.838141417679229e-05,12,200,40,25,0,low,low
1,0,2,1,Hourly,3561,Yes,Owns,12,13,26,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,80,2.4232582030903844e-05,8,80,40,20,15,low,low
3,4,2,3,Hourly,4519,Yes,Owns,48,75,77,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,90,2.561649373484584e-05,14,80,90,95,100,low,low
2,2,3,3,Bonus,1962,No,Rents,15,41,60,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,90,3.384344257621776e-05,14,80,90,95,100,low,low
0,1,0,1,Salaried,4555,No,Rents,2,1,9,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,80,2.8009093926656873e-05,14,80,90,95,100,low,low
2,1,3,1,Hourly,3681,Yes,Owns,17,25,52,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,50,2.802465113523612e-05,20,100,50,30,10,low,low
0,1,1,0,Bonus,3085,No,Rents,3,1,13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.7400109248003268e-05,13,50,60,70,80,low,low
1,2,3,2,Bonus,3085,No,Rents,23,24,64,DEDUCTIBLE,IN-NETWORK,COST IN $,600,2.8430695544949104e-05,2,1600,600,200,0,low,low
1,1,2,0,Salaried,83,Yes,Owns,7,20,28,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.4090235093354067e-05,17,50,70,80,100,low,low
4,4,2,4,Bonus,4623,Yes,Owns,40,73,76,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,4000,2.406898683666392e-05,5,6450,4000,2000,1500,low,low
4,4,4,4,Salaried,3664,No,Owns,39,65,88,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,50,2.3754110762486283e-05,16,75,50,30,0,low,low
0,0,0,0,Bonus,2909,Yes,Rents,3,4,5,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.794101442791112e-05,17,50,70,80,100,low,low
4,4,3,2,Hourly,2246,No,Owns,62,60,83,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,2.4059627385495655e-05,12,200,40,25,0,low,low
2,4,3,2,Hourly,3337,No,Rents,39,72,79,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,3.355633910373148e-05,15,50,70,70,80,low,low
2,4,3,2,Hourly,3337,No,Rents,39,72,79,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,4000,2.412528767580079e-05,5,6450,4000,2000,1500,low,low
4,4,2,2,Bonus,3643,No,Rents,59,56,100,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,2.395981645014492e-05,12,200,40,25,0,low,low
1,0,1,0,Bonus,2951,No,Owns,11,11,30,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.419023498080668e-05,13,50,60,70,80,low,low
0,0,1,0,Salaried,1919,No,Owns,4,4,5,DEDUCTIBLE,IN-NETWORK,COST IN $,1600,2.821789893313936e-05,2,1600,600,200,0,low,low
1,1,1,0,Hourly,4144,No,Owns,3,2,0,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,2.827512097590084e-05,1,1600,600,200,0,low,low
1,1,1,3,Bonus,381,No,Owns,20,38,64,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,4000,2.852467580926524e-05,5,6450,4000,2000,1500,low,low
2,3,2,1,Bonus,3149,No,Owns,17,29,55,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,100,2.836559311157022e-05,11,200,100,10,0,low,low
1,0,1,0,Bonus,2951,No,Owns,11,11,30,DEDUCTIBLE,IN-NETWORK,COST IN $,1600,2.42107413842436e-05,2,1600,600,200,0,low,low
3,3,2,2,Bonus,489,No,Rents,45,51,79,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,2.467447618541188e-05,12,200,40,25,0,low,low
3,4,2,4,Bonus,861,No,Owns,58,56,100,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,2.9522688532650345e-05,18,20,15,10,10,low,low
