children_under_4,children_under_12,children_under_18,children_under_26,employee_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,probe_id,serial,probe,network_status,expense_type,val1,val2,val3,val4,action,plan,estimate_medical_visits,risk_aversion,choice,kdma_depends_on,persona
1,3,1,2,Hourly,3429,No,Rents,34,43,57,8,3,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,80,40,20,15,40,2,20,low,low,RISK,1
2,4,4,3,Hourly,170,No,Rents,61,60,83,14,4,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,90,100,80,95,90,2,50,low,low,RISK,1
0,1,1,0,Salaried,1625,No,Owns,16,16,31,18,2,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,20,15,10,10,20,1,10,low,low,RISK,1
0,0,0,1,Hourly,3289,No,Rents,15,12,39,11,2,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,10,100,200,0,200,1,10,low,low,RISK,1
2,2,3,2,Salaried,1622,Yes,Rents,21,24,60,18,3,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,10,20,10,15,15,2,20,low,low,RISK,1
2,2,4,3,Bonus,1248,Yes,Rents,39,74,85,13,4,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,80,60,70,60,2,50,low,low,RISK,1
2,0,0,0,Hourly,4826,No,Owns,10,15,48,17,2,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,80,100,50,50,1,10,low,low,RISK,1
2,4,3,3,Salaried,1625,No,Owns,60,65,80,14,4,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,100,90,80,95,90,2,50,low,low,RISK,1
1,0,2,0,Bonus,1856,Yes,Rents,14,11,30,17,2,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,100,70,50,80,50,1,10,low,low,RISK,1
1,1,0,0,Salaried,3352,Yes,Rents,1,9,1,15,1,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,80,50,70,70,50,1,5,low,low,RISK,1
4,3,4,2,Hourly,152,Yes,Owns,58,65,88,10,4,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,100,0,60,100,2,50,low,low,RISK,1
2,4,3,3,Bonus,2294,Yes,Owns,47,72,79,4,4,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,6450,1000,4000,1500,4000,2,50,low,low,RISK,1
3,2,2,1,Salaried,3352,Yes,Rents,18,48,52,1,3,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,200,600,0,1600,600,2,20,low,low,RISK,1
0,0,0,1,Bonus,861,No,Owns,8,2,25,12,1,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,25,0,200,200,1,5,low,low,RISK,1
4,4,4,2,Bonus,3149,No,Owns,37,58,79,12,4,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,200,25,0,40,2,50,low,low,RISK,1
1,0,1,0,Bonus,2951,No,Owns,4,0,4,8,1,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,15,80,40,20,80,1,5,low,low,RISK,1
0,1,2,0,Salaried,912,Yes,Rents,16,14,30,18,2,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,10,20,15,10,20,1,10,low,low,RISK,1
4,3,2,4,Salaried,4377,No,Rents,46,73,76,17,4,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,80,100,50,70,2,50,low,low,RISK,1
0,0,0,1,Salaried,2062,No,Rents,2,9,4,8,1,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,15,80,20,40,80,1,5,low,low,RISK,1
3,3,3,2,Salaried,153,Yes,Owns,36,61,80,16,4,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,30,0,75,50,50,2,50,low,low,RISK,1
1,0,1,1,Salaried,4038,Yes,Rents,5,5,12,4,1,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,4000,6450,1500,1000,6450,1,5,low,low,RISK,1
3,4,2,3,Hourly,4470,Yes,Owns,36,63,98,10,4,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,0,60,100,100,2,50,low,low,RISK,1
0,0,1,0,Hourly,3681,Yes,Owns,1,2,1,12,1,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,0,40,200,25,200,1,5,low,low,RISK,1
0,0,1,1,Bonus,2810,Yes,Owns,8,10,10,17,1,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,80,50,100,70,50,1,5,low,low,RISK,1
3,2,2,1,Salaried,3352,Yes,Rents,18,48,52,11,3,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,0,200,10,100,100,2,20,low,low,RISK,1
0,1,1,0,Bonus,4493,Yes,Owns,10,4,3,15,1,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,80,70,50,50,1,5,low,low,RISK,1
0,0,0,1,Bonus,1972,Yes,Owns,17,14,30,16,2,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,0,30,50,75,75,1,10,low,low,RISK,1
1,1,1,0,Bonus,2793,Yes,Owns,9,9,1,13,1,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,80,60,50,50,1,5,low,low,RISK,1
1,3,3,3,Salaried,3042,Yes,Rents,16,31,55,16,3,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,30,0,75,50,50,2,20,low,low,RISK,1
1,0,0,1,Bonus,2742,No,Owns,10,10,2,4,1,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,6450,1500,4000,1000,6450,1,5,low,low,RISK,1
3,1,2,3,Bonus,2742,No,Owns,39,50,53,16,3,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,30,75,50,0,50,2,20,low,low,RISK,1
1,3,1,2,Bonus,2294,Yes,Owns,25,47,55,15,3,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,70,80,50,70,2,20,low,low,RISK,1
2,2,1,1,Bonus,2404,Yes,Owns,11,14,34,20,2,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,50,30,100,10,100,1,10,low,low,RISK,1
0,0,0,1,Bonus,4271,No,Rents,9,16,37,20,2,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,100,50,30,10,100,1,10,low,low,RISK,1
0,1,2,0,Salaried,912,Yes,Rents,16,14,30,2,2,DEDUCTIBLE,IN-NETWORK,COST IN $,0,600,1600,200,1600,1,10,low,low,RISK,1
3,1,1,2,Hourly,3735,Yes,Owns,34,33,56,17,3,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,100,70,80,70,2,20,low,low,RISK,1
2,3,4,2,Salaried,1919,No,Owns,48,61,80,2,4,DEDUCTIBLE,IN-NETWORK,COST IN $,200,0,1600,600,600,2,50,low,low,RISK,1
1,1,0,0,Hourly,1178,No,Owns,0,1,13,4,1,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1000,4000,1500,6450,6450,1,5,low,low,RISK,1
1,0,2,0,Salaried,1855,No,Rents,17,20,35,20,2,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,50,100,10,30,100,1,10,low,low,RISK,1
0,1,1,0,Salaried,1012,Yes,Owns,8,2,25,16,1,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,50,75,0,30,75,1,5,low,low,RISK,1
3,2,2,3,Bonus,2909,Yes,Rents,45,60,80,18,4,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,20,10,15,10,15,2,50,low,low,RISK,1
0,0,1,2,Hourly,1155,No,Rents,6,20,34,12,2,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,0,25,200,200,1,10,low,low,RISK,1
1,0,1,1,Salaried,4038,Yes,Rents,5,5,12,17,1,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,80,70,50,100,50,1,5,low,low,RISK,1
1,1,0,0,Salaried,4671,Yes,Rents,15,12,28,13,2,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,80,60,50,50,1,10,low,low,RISK,1
2,1,1,1,Hourly,2665,No,Rents,20,29,55,18,3,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,20,10,10,15,2,20,low,low,RISK,1
1,3,3,3,Salaried,2240,Yes,Rents,35,49,60,16,3,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,75,50,30,0,50,2,20,low,low,RISK,1
3,2,1,3,Salaried,4377,No,Rents,24,48,52,16,3,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,50,75,30,0,50,2,20,low,low,RISK,1
2,2,1,2,Bonus,861,No,Owns,34,26,75,10,3,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,0,100,60,100,2,20,low,low,RISK,1
0,0,1,0,Salaried,4539,No,Owns,3,10,8,5,1,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,6450,4000,1500,2000,6450,1,5,low,low,RISK,1
4,4,4,3,Salaried,83,Yes,Owns,40,75,77,8,4,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,40,80,20,15,40,2,50,low,low,RISK,1
1,1,1,0,Bonus,2793,Yes,Owns,9,9,1,18,1,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,20,10,10,15,20,1,5,low,low,RISK,1
4,4,3,3,Salaried,3352,Yes,Rents,38,73,76,2,4,DEDUCTIBLE,IN-NETWORK,COST IN $,0,1600,600,200,600,2,50,low,low,RISK,1
2,0,2,1,Hourly,1593,No,Owns,5,13,27,16,2,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,0,30,75,50,75,1,10,low,low,RISK,1
3,3,3,4,Salaried,1210,No,Rents,62,54,88,10,4,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,60,0,100,120,100,2,50,low,low,RISK,1
0,0,0,0,Hourly,4605,Yes,Rents,10,16,39,2,2,DEDUCTIBLE,IN-NETWORK,COST IN $,600,200,1600,0,1600,1,10,low,low,RISK,1
1,0,0,0,Salaried,2852,Yes,Rents,1,5,5,12,1,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,200,25,40,0,200,1,5,low,low,RISK,1
1,1,0,0,Hourly,2665,No,Rents,8,14,30,18,2,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,10,10,20,20,1,10,low,low,RISK,1
3,4,4,4,Bonus,2810,Yes,Owns,58,74,85,17,4,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,100,80,50,70,2,50,low,low,RISK,1
1,1,1,0,Bonus,2793,Yes,Owns,9,9,1,16,1,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,30,50,75,0,75,1,5,low,low,RISK,1
1,0,0,0,Hourly,4826,No,Owns,4,5,23,18,1,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,10,15,20,10,20,1,5,low,low,RISK,1
2,2,3,3,Bonus,1962,No,Rents,15,41,60,12,3,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,25,40,0,200,40,2,20,low,low,RISK,1
1,1,1,0,Bonus,2793,Yes,Owns,9,9,1,10,1,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,100,0,120,60,120,1,5,low,low,RISK,1
2,1,3,1,Hourly,2299,Yes,Owns,31,36,56,14,3,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,95,90,80,100,90,2,20,low,low,RISK,1
4,3,4,3,Hourly,3252,Yes,Owns,46,55,84,16,4,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,50,0,30,75,50,2,50,low,low,RISK,1
4,4,3,2,Hourly,2246,No,Owns,62,60,83,1,4,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,200,0,600,600,2,50,low,low,RISK,1
1,1,1,1,Hourly,4605,Yes,Rents,24,38,64,4,3,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1000,6450,1500,4000,4000,2,20,low,low,RISK,1
1,3,2,1,Bonus,4493,Yes,Owns,39,31,54,20,3,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,10,50,100,30,50,2,20,low,low,RISK,1
2,3,1,1,Hourly,4350,No,Rents,19,36,62,1,3,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,200,0,600,600,2,20,low,low,RISK,1
3,4,4,3,Bonus,3085,No,Rents,45,54,88,1,4,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,200,600,1600,0,600,2,50,low,low,RISK,1
3,4,4,3,Bonus,4493,Yes,Owns,64,60,78,12,4,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,0,40,25,200,40,2,50,low,low,RISK,1
