Unnamed: 0,type,prompt,action1,casualty_name,casualty_age,casualty_sex,casualty_rank,injury_type,injury_severity,injury_location,mission,denial,risktol,timeurg
39,SelectTag,How would you tag C?,TAG_CASUALTY EXPECTANT None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,2,8,3,2
40,SelectTag,How would you tag C?,TAG_CASUALTY MINOR None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,8,3,3,6
41,SelectTag,How would you tag C?,TAG_CASUALTY DELAYED None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,8,8,6,6
42,SelectTag,How would you tag C?,TAG_CASUALTY IMMEDIATE None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,4,3,3,6
43,SelectTag,How would you tag C?,TAG_CASUALTY EXPECTANT None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,2,2,2,8
44,SelectTag,How would you tag C?,TAG_CASUALTY MINOR None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,7,8,0,8
45,SelectTag,How would you tag C?,TAG_CASUALTY DELAYED None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,4,8,2,6
46,SelectTag,How would you tag C?,TAG_CASUALTY IMMEDIATE None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,6,2,2,0
47,SelectTag,How would you tag C?,TAG_CASUALTY EXPECTANT None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,2,8,0,8
48,SelectTag,How would you tag D?,TAG_CASUALTY MINOR None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,3,8,8,2
49,SelectTag,How would you tag D?,TAG_CASUALTY DELAYED None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,3,4,7,7
50,SelectTag,How would you tag D?,TAG_CASUALTY IMMEDIATE None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,7,2,3,8
51,SelectTag,How would you tag D?,TAG_CASUALTY EXPECTANT None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,8,8,8,8
52,SelectTag,How would you tag D?,TAG_CASUALTY MINOR None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,2,8,2,2
53,SelectTag,How would you tag D?,TAG_CASUALTY DELAYED None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,3,7,3,4
54,SelectTag,How would you tag D?,TAG_CASUALTY IMMEDIATE None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,2,3,7,2
55,SelectTag,How would you tag D?,TAG_CASUALTY EXPECTANT None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,3,2,2,2
56,SelectTag,How would you tag D?,TAG_CASUALTY MINOR None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,3,8,8,8
57,SelectTag,How would you tag D?,TAG_CASUALTY DELAYED None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,8,7,7,6
58,SelectTag,How would you tag D?,TAG_CASUALTY IMMEDIATE None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,3,6,3,7
59,SelectTag,How would you tag D?,TAG_CASUALTY EXPECTANT None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,2,2,2,8
60,SelectTag,How would you tag D?,TAG_CASUALTY MINOR None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,0,8,8,8
61,SelectTag,How would you tag D?,TAG_CASUALTY DELAYED None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,0,6,7,6
62,SelectTag,How would you tag D?,TAG_CASUALTY IMMEDIATE None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,0,3,2,4
63,SelectTag,How would you tag D?,TAG_CASUALTY EXPECTANT None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,7,8,8,8
64,SelectTag,How would you tag E?,TAG_CASUALTY MINOR None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,8,7,7,2
65,SelectTag,How would you tag E?,TAG_CASUALTY DELAYED None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,2,3,6,7
66,SelectTag,How would you tag E?,TAG_CASUALTY IMMEDIATE None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,2,2,3,8
67,SelectTag,How would you tag E?,TAG_CASUALTY EXPECTANT None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,8,8,8,8
68,SelectTag,How would you tag E?,TAG_CASUALTY MINOR None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,8,2,2,2
69,SelectTag,How would you tag E?,TAG_CASUALTY DELAYED None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,6,3,7,3
70,SelectTag,How would you tag E?,TAG_CASUALTY IMMEDIATE None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,4,8,8,7
71,SelectTag,How would you tag E?,TAG_CASUALTY EXPECTANT None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,8,2,2,2
72,SelectTag,How would you tag E?,TAG_CASUALTY MINOR None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,2,2,4,2
73,SelectTag,How would you tag E?,TAG_CASUALTY DELAYED None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,3,6,6,3
74,SelectTag,How would you tag E?,TAG_CASUALTY IMMEDIATE None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,8,8,6,8
75,SelectTag,How would you tag E?,TAG_CASUALTY EXPECTANT None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,3,4,2,8
76,SelectTag,How would you tag E?,TAG_CASUALTY MINOR None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,0,8,8,8
77,SelectTag,How would you tag E?,TAG_CASUALTY DELAYED None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,0,4,4,8
78,SelectTag,How would you tag E?,TAG_CASUALTY IMMEDIATE None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,0,4,2,4
79,SelectTag,How would you tag E?,TAG_CASUALTY EXPECTANT None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,7,8,8,8
80,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,2,8,2
81,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,7,7,7,3
82,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,8,8,8,3
83,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None UNSPECIFIED,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,3,8,7,8
84,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,8,8,2
85,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,7,7,7,3
86,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,8,7,3,3
87,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,8,3,7,3
88,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,2,3,2
89,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,7,2,4,2
90,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,8,2,6,3
91,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,6,2,8,2
92,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,2,7,7
93,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,4,2,6,6
94,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,8,2,3,7
95,SelectCasualty,"Who do you treat first between casualties A, B, C and D?",CHECK_ALL_VITALS None None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,4,2,2,4
96,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,2,8,2
97,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,8,8,3,7
98,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,8,8,2,8
99,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,2,3,8,2
100,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,8,8,2
101,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,3,7,7,7
102,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,3,8,3,3
103,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,2,3,7,2
104,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,2,3,2
105,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,7,2,3,4
106,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,7,8,8,6
107,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,2,3,2,4
108,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,2,7,7
109,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,4,2,6,6
110,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-D,40,M,Civilian,SHRAPNEL,0.25,RIGHT_FACE,4,2,2,4
111,SelectCasualty,"Who do you treat first between casualties A, B, D, and E?",CHECK_ALL_VITALS None None None,casualty-E,26,M,MARINE,AMPUTATION,1.0,RIGHT_CALF,4,2,3,2
112,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,6,8,2
113,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,8,2,2,3
114,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,2,7,2
115,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",APPLY_TREATMENT None PRESSURE_BANDAGE LEFT_SIDE,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,2,8,2
116,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,3,8,3
117,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,4,3,2,7
118,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,7,7,2
119,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",APPLY_TREATMENT None PRESSURE_BANDAGE LEFT_SIDE,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,7,8,2
120,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,8,3,6,8
121,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,8,3,3,8
122,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,3,3,6
123,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",APPLY_TREATMENT None PRESSURE_BANDAGE LEFT_SIDE,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,3,3,3,6
124,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,4,3,2,2
125,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,6,7,3,3
126,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,4,2,2,2
127,SelectTreatment,"You decide to treat casualty A first, which treatment do you apply?",APPLY_TREATMENT None PRESSURE_BANDAGE LEFT_SIDE,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,0,2,8,2
128,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,8,7,2,2
129,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,7,2,4,4
130,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,7,3,4,7
131,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",APPLY_TREATMENT None PRESSURE_BANDAGE LEFT_SIDE,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,2,2,2,7
132,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,2,3,8,3
133,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,4,3,2,7
134,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,2,3,7,2
135,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",APPLY_TREATMENT None PRESSURE_BANDAGE LEFT_SIDE,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,2,3,2,2
136,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,6,3,3,8
137,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,6,3,6,8
138,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,7,3,7,8
139,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",APPLY_TREATMENT None PRESSURE_BANDAGE LEFT_SIDE,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,8,7,8,8
140,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,6,3,2,2
141,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,6,7,3,3
142,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,4,2,2,2
143,SelectTreatment,"You decide to treat casualty B first, which treatment do you apply?",APPLY_TREATMENT None PRESSURE_BANDAGE LEFT_SIDE,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,0,2,7,2
144,SelectTreatment,"You decide to treat casualty C first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,8,2,2,7
145,SelectTreatment,"You decide to treat casualty C first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,2,2,3,2
146,SelectTreatment,"You decide to treat casualty C first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,7,2,6,8
147,SelectTreatment,"You decide to treat casualty C first, which treatment do you apply?",APPLY_TREATMENT None PRESSURE_BANDAGE LEFT_SIDE,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,2,2,3,2
148,SelectTreatment,"You decide to treat casualty C first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,7,3,3,3
149,SelectTreatment,"You decide to treat casualty C first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,4,3,3,4
150,SelectTreatment,"You decide to treat casualty C first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,4,3,2,2
151,SelectTreatment,"You decide to treat casualty C first, which treatment do you apply?",APPLY_TREATMENT None PRESSURE_BANDAGE LEFT_SIDE,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,7,3,3,4
152,SelectTreatment,"You decide to treat casualty C first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,8,7,8,8
153,SelectTreatment,"You decide to treat casualty C first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,7,3,3,8
154,SelectTreatment,"You decide to treat casualty C first, which treatment do you apply?",CHECK_ALL_VITALS None None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,6,3,7,7
