Case,Actual Outcome,Actual Outcome of 5 Most Similar Cases,Similarity#1,Similarity#2,Similarity#3,Similarity#4,Similarity#5,Top 5 Most Similar Case Index,Similarity Score,Diff_Attributes: Most Similar Variation 1,Diff_Attributes: Most Similar Variation 2,Diff_Attributes: Most Similar Variation 3,Diff_Attributes: Most Similar Variation 4,Diff_Attributes: Most Similar Variation 5
[11],13,[12 14 15 14 13],Case: 5 / Pred: 12,Case: 2 / Pred: 14,Case: 0 / Pred: 15,Case: 6 / Pred: 14,Case: 3 / Pred: 13,"[5, 2, 0, 6, 3]","[0.46711980708505946, 0.4660161623948598, 0.4658140100506602, 0.4658140100506602, 0.4655171796912313]","Mission: 2.0/8.0, Risktol: 7.0/8.0, Timeurg: 6.0/8.0 - Counterfactual","Denial: 2.0/7.0, Risktol: 3.0/8.0 - Counterfactual","Mission: 2.0/8.0, Denial: 2.0/7.0, Timeurg: 2.0/8.0 - Counterfactual","Mission: 2.0/8.0, Denial: 8.0/7.0, Timeurg: 7.0/8.0 - Counterfactual","Denial: 8.0/7.0, Risktol: 2.0/8.0 - Non-Counterfactual"
[12],15,[15 12 14 13 13],Case: 4 / Pred: 15,Case: 13 / Pred: 12,Case: 2 / Pred: 14,Case: 3 / Pred: 13,Case: 7 / Pred: 13,"[4, 13, 2, 3, 7]","[0.4707395028866631, 0.4699261447469857, 0.46969606658825586, 0.4683974516975649, 0.4683974516975649]",Mission: 2.0/0.0 - Non-Counterfactual,Timeurg: 2.0/8.0 - Counterfactual,"Mission: 8.0/0.0, Risktol: 3.0/2.0 - Counterfactual","Mission: 8.0/0.0, Denial: 8.0/2.0 - Counterfactual","Mission: 2.0/0.0, Denial: 8.0/2.0 - Counterfactual"
[13],12,[15 15 15 14 15],Case: 8 / Pred: 15,Case: 12 / Pred: 15,Case: 4 / Pred: 15,Case: 2 / Pred: 14,Case: 0 / Pred: 15,"[8, 12, 4, 2, 0]","[0.4707395028866631, 0.4699261447469857, 0.46816898528275724, 0.46711980708505946, 0.4661087519804898]",Mission: 2.0/0.0 - Counterfactual,Timeurg: 8.0/2.0 - Counterfactual,"Mission: 2.0/0.0, Timeurg: 8.0/2.0 - Counterfactual","Mission: 8.0/0.0, Risktol: 3.0/2.0, Timeurg: 8.0/2.0 - Counterfactual","Mission: 2.0/0.0, Risktol: 8.0/2.0 - Counterfactual"
[14],14,[14 12 12 14 15],Case: 6 / Pred: 14,Case: 1 / Pred: 12,Case: 5 / Pred: 12,Case: 10 / Pred: 14,Case: 0 / Pred: 15,"[6, 1, 5, 10, 0]","[0.4673487863975569, 0.4658140100506602, 0.4658140100506602, 0.46485566901942593, 0.4647595156099261]","Mission: 2.0/0.0, Denial: 8.0/3.0, Risktol: 8.0/7.0 - Non-Counterfactual","Mission: 2.0/0.0, Denial: 2.0/3.0, Timeurg: 3.0/7.0 - Counterfactual","Mission: 2.0/0.0, Denial: 7.0/3.0, Timeurg: 6.0/7.0 - Counterfactual","Mission: 2.0/0.0, Denial: 6.0/3.0, Risktol: 3.0/7.0 - Non-Counterfactual","Mission: 2.0/0.0, Denial: 2.0/3.0, Risktol: 8.0/7.0, Timeurg: 2.0/7.0 - Counterfactual"
[15],13,[13 13 14 15 15],Case: 3 / Pred: 13,Case: 7 / Pred: 13,Case: 2 / Pred: 14,Case: 4 / Pred: 15,Case: 12 / Pred: 15,"[3, 7, 2, 4, 12]","[0.47248710280182366, 0.4707395028866631, 0.46910901812195815, 0.4683974516975649, 0.4683974516975649]", - Non-Counterfactual,Mission: 2.0/8.0 - Non-Counterfactual,"Denial: 2.0/8.0, Risktol: 3.0/2.0 - Counterfactual","Mission: 2.0/8.0, Denial: 2.0/8.0 - Counterfactual","Mission: 0.0/8.0, Denial: 2.0/8.0 - Counterfactual"
[16],15,[13 14 12 12 13],Case: 19 / Pred: 13,Case: 22 / Pred: 14,Case: 17 / Pred: 12,Case: 21 / Pred: 12,Case: 31 / Pred: 13,"[19, 22, 17, 21, 31]","[0.46816898528275724, 0.46816898528275724, 0.4673487863975569, 0.4673487863975569, 0.46711980708505946]","Mission: 2.0/3.0, Timeurg: 3.0/2.0 - Counterfactual","Mission: 2.0/3.0, Timeurg: 7.0/2.0 - Counterfactual","Mission: 8.0/3.0, Denial: 7.0/8.0, Risktol: 7.0/8.0 - Counterfactual","Mission: 7.0/3.0, Denial: 6.0/8.0, Risktol: 7.0/8.0 - Counterfactual","Mission: 2.0/3.0, Risktol: 7.0/8.0, Timeurg: 8.0/2.0 - Counterfactual"
[17],12,[12 15 15 12 13],Case: 21 / Pred: 12,Case: 16 / Pred: 15,Case: 20 / Pred: 15,Case: 25 / Pred: 12,Case: 31 / Pred: 13,"[21, 16, 20, 25, 31]","[0.4683974516975649, 0.4673487863975569, 0.4672154747444781, 0.46652951684330923, 0.4658140100506602]","Mission: 7.0/8.0, Denial: 6.0/7.0 - Non-Counterfactual","Mission: 3.0/8.0, Denial: 8.0/7.0, Risktol: 8.0/7.0 - Counterfactual","Mission: 3.0/8.0, Risktol: 3.0/7.0 - Counterfactual","Denial: 8.0/7.0, Risktol: 6.0/7.0, Timeurg: 6.0/2.0 - Non-Counterfactual","Mission: 2.0/8.0, Denial: 8.0/7.0, Timeurg: 8.0/2.0 - Counterfactual"
[18],14,[13 15 13 13 14],Case: 31 / Pred: 13,Case: 28 / Pred: 15,Case: 27 / Pred: 13,Case: 19 / Pred: 13,Case: 22 / Pred: 14,"[31, 28, 27, 19, 22]","[0.46910901812195815, 0.46876049692328564, 0.4678736489789611, 0.4675800195640902, 0.4675800195640902]","Denial: 8.0/2.0, Risktol: 7.0/8.0 - Counterfactual","Mission: 6.0/2.0, Risktol: 6.0/8.0 - Counterfactual",Risktol: 2.0/8.0 - Counterfactual,"Denial: 8.0/2.0, Timeurg: 3.0/8.0 - Counterfactual","Denial: 8.0/2.0, Timeurg: 7.0/8.0 - Non-Counterfactual"
[19],13,[14 13 15 14 12],Case: 22 / Pred: 14,Case: 31 / Pred: 13,Case: 16 / Pred: 15,Case: 18 / Pred: 14,Case: 25 / Pred: 12,"[22, 31, 16, 18, 25]","[0.4699261447469857, 0.4688808984243883, 0.46816898528275724, 0.4675800195640902, 0.46617906718177465]",Timeurg: 7.0/3.0 - Counterfactual,"Risktol: 7.0/8.0, Timeurg: 8.0/3.0 - Non-Counterfactual","Mission: 3.0/2.0, Timeurg: 2.0/3.0 - Counterfactual","Denial: 2.0/8.0, Timeurg: 8.0/3.0 - Counterfactual","Mission: 8.0/2.0, Risktol: 6.0/8.0, Timeurg: 6.0/3.0 - Counterfactual"
[20],15,[13 12 15 15 14],Case: 23 / Pred: 13,Case: 17 / Pred: 12,Case: 16 / Pred: 15,Case: 24 / Pred: 15,Case: 26 / Pred: 14,"[23, 17, 16, 24, 26]","[0.4673487863975569, 0.4672154747444781, 0.4660161623948598, 0.4658140100506602, 0.4658140100506602]","Mission: 7.0/3.0, Denial: 2.0/7.0, Risktol: 2.0/3.0 - Counterfactual","Mission: 8.0/3.0, Risktol: 7.0/3.0 - Counterfactual","Denial: 8.0/7.0, Risktol: 8.0/3.0 - Non-Counterfactual","Mission: 8.0/3.0, Denial: 3.0/7.0, Timeurg: 3.0/2.0 - Non-Counterfactual","Mission: 2.0/3.0, Denial: 6.0/7.0, Timeurg: 6.0/2.0 - Counterfactual"
[21],12,[12 15 13 13 15],Case: 17 / Pred: 12,Case: 16 / Pred: 15,Case: 23 / Pred: 13,Case: 31 / Pred: 13,Case: 20 / Pred: 15,"[17, 16, 23, 31, 20]","[0.4683974516975649, 0.4673487863975569, 0.4660161623948598, 0.4658140100506602, 0.46485566901942593]","Mission: 8.0/7.0, Denial: 7.0/6.0 - Non-Counterfactual","Mission: 3.0/7.0, Denial: 8.0/6.0, Risktol: 8.0/7.0 - Counterfactual","Denial: 2.0/6.0, Risktol: 2.0/7.0 - Counterfactual","Mission: 2.0/7.0, Denial: 8.0/6.0, Timeurg: 8.0/2.0 - Counterfactual","Mission: 3.0/7.0, Denial: 7.0/6.0, Risktol: 3.0/7.0 - Counterfactual"
[22],14,[13 13 15 14 12],Case: 19 / Pred: 13,Case: 31 / Pred: 13,Case: 16 / Pred: 15,Case: 18 / Pred: 14,Case: 25 / Pred: 12,"[19, 31, 16, 18, 25]","[0.4699261447469857, 0.4688808984243883, 0.46816898528275724, 0.4675800195640902, 0.46617906718177465]",Timeurg: 3.0/7.0 - Counterfactual,"Risktol: 7.0/8.0, Timeurg: 8.0/7.0 - Counterfactual","Mission: 3.0/2.0, Timeurg: 2.0/7.0 - Counterfactual","Denial: 2.0/8.0, Timeurg: 8.0/7.0 - Non-Counterfactual","Mission: 8.0/2.0, Risktol: 6.0/8.0, Timeurg: 6.0/7.0 - Counterfactual"
[23],13,[13 15 12 12 15],Case: 27 / Pred: 13,Case: 20 / Pred: 15,Case: 21 / Pred: 12,Case: 29 / Pred: 12,Case: 24 / Pred: 15,"[27, 20, 21, 29, 24]","[0.46816898528275724, 0.4673487863975569, 0.4660161623948598, 0.46558758423452185, 0.4647595156099261]","Mission: 2.0/7.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Mission: 3.0/7.0, Denial: 7.0/2.0, Risktol: 3.0/2.0 - Counterfactual","Denial: 6.0/2.0, Risktol: 7.0/2.0 - Counterfactual","Denial: 4.0/2.0, Risktol: 4.0/2.0, Timeurg: 8.0/2.0 - Counterfactual","Mission: 8.0/7.0, Denial: 3.0/2.0, Risktol: 3.0/2.0, Timeurg: 3.0/2.0 - Counterfactual"
[24],15,[15 14 14 13 13],Case: 20 / Pred: 15,Case: 26 / Pred: 14,Case: 30 / Pred: 14,Case: 23 / Pred: 13,Case: 27 / Pred: 13,"[20, 26, 30, 23, 27]","[0.4658140100506602, 0.4658140100506602, 0.4658140100506602, 0.4647595156099261, 0.4647595156099261]","Mission: 3.0/8.0, Denial: 7.0/3.0, Timeurg: 2.0/3.0 - Non-Counterfactual","Mission: 2.0/8.0, Denial: 6.0/3.0, Timeurg: 6.0/3.0 - Counterfactual","Mission: 2.0/8.0, Denial: 6.0/3.0, Timeurg: 4.0/3.0 - Counterfactual","Mission: 7.0/8.0, Denial: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 2.0/3.0 - Counterfactual","Mission: 2.0/8.0, Denial: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 8.0/3.0 - Counterfactual"
[25],12,[13 12 15 13 14],Case: 31 / Pred: 13,Case: 17 / Pred: 12,Case: 16 / Pred: 15,Case: 19 / Pred: 13,Case: 22 / Pred: 14,"[31, 17, 16, 19, 22]","[0.46711980708505946, 0.46652951684330923, 0.46617906718177465, 0.46617906718177465, 0.46617906718177465]","Mission: 2.0/8.0, Risktol: 7.0/6.0, Timeurg: 8.0/6.0 - Counterfactual","Denial: 7.0/8.0, Risktol: 7.0/6.0, Timeurg: 2.0/6.0 - Non-Counterfactual","Mission: 3.0/8.0, Risktol: 8.0/6.0, Timeurg: 2.0/6.0 - Counterfactual","Mission: 2.0/8.0, Risktol: 8.0/6.0, Timeurg: 3.0/6.0 - Counterfactual","Mission: 2.0/8.0, Risktol: 8.0/6.0, Timeurg: 7.0/6.0 - Counterfactual"
[26],14,[14 13 15 15 12],Case: 30 / Pred: 14,Case: 27 / Pred: 13,Case: 20 / Pred: 15,Case: 24 / Pred: 15,Case: 25 / Pred: 12,"[30, 27, 20, 24, 25]","[0.4699261447469857, 0.46652951684330923, 0.4658140100506602, 0.4658140100506602, 0.4655772742291358]",Timeurg: 4.0/6.0 - Non-Counterfactual,"Denial: 2.0/6.0, Risktol: 2.0/3.0, Timeurg: 8.0/6.0 - Counterfactual","Mission: 3.0/2.0, Denial: 7.0/6.0, Timeurg: 2.0/6.0 - Counterfactual","Mission: 8.0/2.0, Denial: 3.0/6.0, Timeurg: 3.0/6.0 - Counterfactual","Mission: 8.0/2.0, Denial: 8.0/6.0, Risktol: 6.0/3.0 - Counterfactual"
[27],13,[13 14 15 14 14],Case: 23 / Pred: 13,Case: 18 / Pred: 14,Case: 28 / Pred: 15,Case: 26 / Pred: 14,Case: 30 / Pred: 14,"[23, 18, 28, 26, 30]","[0.46816898528275724, 0.4678736489789611, 0.4672154747444781, 0.46652951684330923, 0.46652951684330923]","Mission: 7.0/2.0, Timeurg: 2.0/8.0 - Non-Counterfactual",Risktol: 8.0/2.0 - Counterfactual,"Mission: 6.0/2.0, Risktol: 6.0/2.0 - Counterfactual","Denial: 6.0/2.0, Risktol: 3.0/2.0, Timeurg: 6.0/8.0 - Counterfactual","Denial: 6.0/2.0, Risktol: 3.0/2.0, Timeurg: 4.0/8.0 - Counterfactual"
[28],15,[14 13 13 12 12],Case: 18 / Pred: 14,Case: 31 / Pred: 13,Case: 27 / Pred: 13,Case: 29 / Pred: 12,Case: 25 / Pred: 12,"[18, 31, 27, 29, 25]","[0.46876049692328564, 0.4673487863975569, 0.4672154747444781, 0.46640850834279995, 0.4658140100506602]","Mission: 2.0/6.0, Risktol: 8.0/6.0 - Counterfactual","Mission: 2.0/6.0, Denial: 8.0/2.0, Risktol: 7.0/6.0 - Counterfactual","Mission: 2.0/6.0, Risktol: 2.0/6.0 - Counterfactual","Mission: 7.0/6.0, Denial: 4.0/2.0, Risktol: 4.0/6.0 - Counterfactual","Mission: 8.0/6.0, Denial: 8.0/2.0, Timeurg: 6.0/8.0 - Counterfactual"
[29],12,[13 15 13 13 14],Case: 27 / Pred: 13,Case: 28 / Pred: 15,Case: 23 / Pred: 13,Case: 31 / Pred: 13,Case: 18 / Pred: 14,"[27, 28, 23, 31, 18]","[0.46640850834279995, 0.46640850834279995, 0.46558758423452185, 0.4655772742291358, 0.46485566901942593]","Mission: 2.0/7.0, Denial: 2.0/4.0, Risktol: 2.0/4.0 - Counterfactual","Mission: 6.0/7.0, Denial: 2.0/4.0, Risktol: 6.0/4.0 - Counterfactual","Denial: 2.0/4.0, Risktol: 2.0/4.0, Timeurg: 2.0/8.0 - Counterfactual","Mission: 2.0/7.0, Denial: 8.0/4.0, Risktol: 7.0/4.0 - Counterfactual","Mission: 2.0/7.0, Denial: 2.0/4.0, Risktol: 8.0/4.0 - Counterfactual"
[30],14,[14 13 15 15 13],Case: 26 / Pred: 14,Case: 27 / Pred: 13,Case: 20 / Pred: 15,Case: 24 / Pred: 15,Case: 23 / Pred: 13,"[26, 27, 20, 24, 23]","[0.4699261447469857, 0.46652951684330923, 0.4658140100506602, 0.4658140100506602, 0.4647595156099261]",Timeurg: 6.0/4.0 - Non-Counterfactual,"Denial: 2.0/6.0, Risktol: 2.0/3.0, Timeurg: 8.0/4.0 - Counterfactual","Mission: 3.0/2.0, Denial: 7.0/6.0, Timeurg: 2.0/4.0 - Counterfactual","Mission: 8.0/2.0, Denial: 3.0/6.0, Timeurg: 3.0/4.0 - Counterfactual","Mission: 7.0/2.0, Denial: 2.0/6.0, Risktol: 2.0/3.0, Timeurg: 2.0/4.0 - Counterfactual"
[31],13,[14 13 14 15 15],Case: 18 / Pred: 14,Case: 19 / Pred: 13,Case: 22 / Pred: 14,Case: 28 / Pred: 15,Case: 16 / Pred: 15,"[18, 19, 22, 28, 16]","[0.46910901812195815, 0.4688808984243883, 0.4688808984243883, 0.4673487863975569, 0.46711980708505946]","Denial: 2.0/8.0, Risktol: 8.0/7.0 - Counterfactual","Risktol: 8.0/7.0, Timeurg: 3.0/8.0 - Non-Counterfactual","Risktol: 8.0/7.0, Timeurg: 7.0/8.0 - Counterfactual","Mission: 6.0/2.0, Denial: 2.0/8.0, Risktol: 6.0/7.0 - Counterfactual","Mission: 3.0/2.0, Risktol: 8.0/7.0, Timeurg: 2.0/8.0 - Counterfactual"
[32],15,[15 12 14 13 12],Case: 36 / Pred: 15,Case: 33 / Pred: 12,Case: 38 / Pred: 14,Case: 35 / Pred: 13,Case: 37 / Pred: 12,"[36, 33, 38, 35, 37]","[0.4707395028866631, 0.46711980708505946, 0.46617906718177465, 0.4658140100506602, 0.4647595156099261]",Mission: 2.0/3.0 - Non-Counterfactual,"Mission: 7.0/3.0, Risktol: 7.0/8.0, Timeurg: 3.0/2.0 - Counterfactual","Mission: 8.0/3.0, Risktol: 6.0/8.0, Timeurg: 7.0/2.0 - Counterfactual","Mission: 2.0/3.0, Denial: 8.0/2.0, Timeurg: 8.0/2.0 - Counterfactual","Mission: 7.0/3.0, Denial: 6.0/2.0, Risktol: 7.0/8.0, Timeurg: 3.0/2.0 - Counterfactual"
[33],12,[12 15 15 14 13],Case: 37 / Pred: 12,Case: 32 / Pred: 15,Case: 36 / Pred: 15,Case: 38 / Pred: 14,Case: 35 / Pred: 13,"[37, 32, 36, 38, 35]","[0.47015375728888, 0.46711980708505946, 0.46711980708505946, 0.46711980708505946, 0.4647595156099261]",Denial: 6.0/2.0 - Non-Counterfactual,"Mission: 3.0/7.0, Risktol: 8.0/7.0, Timeurg: 2.0/3.0 - Counterfactual","Mission: 2.0/7.0, Risktol: 8.0/7.0, Timeurg: 2.0/3.0 - Counterfactual","Mission: 8.0/7.0, Risktol: 6.0/7.0, Timeurg: 7.0/3.0 - Counterfactual","Mission: 2.0/7.0, Denial: 8.0/2.0, Risktol: 8.0/7.0, Timeurg: 8.0/3.0 - Counterfactual"
[34],14,[14 13 14 15 12],Case: 38 / Pred: 14,Case: 43 / Pred: 13,Case: 46 / Pred: 14,Case: 40 / Pred: 15,Case: 45 / Pred: 12,"[38, 43, 46, 40, 45]","[0.46897620683440483, 0.46816898528275724, 0.46816898528275724, 0.46652951684330923, 0.4658140100506602]",Risktol: 6.0/2.0 - Non-Counterfactual,"Mission: 2.0/8.0, Timeurg: 8.0/7.0 - Counterfactual","Mission: 6.0/8.0, Timeurg: 0.0/7.0 - Non-Counterfactual","Denial: 3.0/2.0, Risktol: 3.0/2.0, Timeurg: 6.0/7.0 - Counterfactual","Mission: 4.0/8.0, Denial: 8.0/2.0, Timeurg: 6.0/7.0 - Counterfactual"
[35],13,[15 13 12 15 13],Case: 36 / Pred: 15,Case: 47 / Pred: 13,Case: 41 / Pred: 12,Case: 32 / Pred: 15,Case: 39 / Pred: 13,"[36, 47, 41, 32, 39]","[0.4675800195640902, 0.4672108653575483, 0.46617906718177465, 0.4658140100506602, 0.4657865279687104]","Denial: 2.0/8.0, Timeurg: 2.0/8.0 - Counterfactual",Risktol: 0.0/8.0 - Non-Counterfactual,"Mission: 8.0/2.0, Risktol: 6.0/8.0, Timeurg: 6.0/8.0 - Counterfactual","Mission: 3.0/2.0, Denial: 2.0/8.0, Timeurg: 2.0/8.0 - Counterfactual","Risktol: 3.0/8.0, Timeurg: 2.0/8.0 - Non-Counterfactual"
[36],15,[15 13 12 14 13],Case: 32 / Pred: 15,Case: 35 / Pred: 13,Case: 33 / Pred: 12,Case: 38 / Pred: 14,Case: 39 / Pred: 13,"[32, 35, 33, 38, 39]","[0.4707395028866631, 0.4675800195640902, 0.46711980708505946, 0.46617906718177465, 0.4660161623948598]",Mission: 3.0/2.0 - Non-Counterfactual,"Denial: 8.0/2.0, Timeurg: 8.0/2.0 - Counterfactual","Mission: 7.0/2.0, Risktol: 7.0/8.0, Timeurg: 3.0/2.0 - Counterfactual","Mission: 8.0/2.0, Risktol: 6.0/8.0, Timeurg: 7.0/2.0 - Counterfactual","Denial: 8.0/2.0, Risktol: 3.0/8.0 - Counterfactual"
