Case,Actual Outcome,Actual Outcome of 5 Most Similar Cases,Similarity#1,Similarity#2,Similarity#3,Similarity#4,Similarity#5,Top 5 Most Similar Case Index,Similarity Score,Diff_Attributes: Most Similar Variation 1,Diff_Attributes: Most Similar Variation 2,Diff_Attributes: Most Similar Variation 3,Diff_Attributes: Most Similar Variation 4,Diff_Attributes: Most Similar Variation 5
10,11,[11 11  9 11  9],Case: 6 / Pred: 11,Case: 14 / Pred: 11,Case: 9 / Pred: 9,Case: 2 / Pred: 11,Case: 1 / Pred: 9,"[6, 14, 9, 2, 1]","[0.33989070683478784, 0.33969331362362665, 0.3396799854367662, 0.3394824697009694, 0.33898222101264736]","Denial: 8.0/6.0, Risktol: 8.0/3.0 - Non-Counterfactual","Mission: 0.0/2.0, Denial: 3.0/6.0, Risktol: 7.0/3.0 - Non-Counterfactual","Denial: 3.0/6.0, Timeurg: 3.0/7.0 - Counterfactual","Mission: 8.0/2.0, Denial: 2.0/6.0, Timeurg: 8.0/7.0 - Non-Counterfactual","Denial: 2.0/6.0, Risktol: 7.0/3.0, Timeurg: 3.0/7.0 - Counterfactual"
11,10,[11 10 10 10 11],Case: 2 / Pred: 11,Case: 3 / Pred: 10,Case: 15 / Pred: 10,Case: 7 / Pred: 10,Case: 6 / Pred: 11,"[2, 3, 15, 7, 6]","[0.33989070683478784, 0.33989070683478784, 0.33989070683478784, 0.33969331362362665, 0.3394824697009694]","Denial: 2.0/7.0, Risktol: 3.0/8.0 - Counterfactual","Denial: 8.0/7.0, Risktol: 2.0/8.0 - Non-Counterfactual","Denial: 8.0/7.0, Risktol: 2.0/8.0 - Non-Counterfactual","Mission: 2.0/8.0, Denial: 8.0/7.0, Risktol: 2.0/8.0 - Non-Counterfactual","Mission: 2.0/8.0, Denial: 8.0/7.0, Timeurg: 7.0/8.0 - Counterfactual"
12,12,[12 12 12 12 12],Case: 4 / Pred: 12,Case: 8 / Pred: 12,Case: 0 / Pred: 12,Case: 28 / Pred: 12,Case: 16 / Pred: 12,"[4, 8, 0, 28, 16]","[0.34080649255609197, 0.3399004544545376, 0.33920314355080317, 0.32193971043807085, 0.32053776536132667]",Mission: 2.0/0.0 - Non-Counterfactual,"Mission: 2.0/0.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Mission: 2.0/0.0, Risktol: 8.0/2.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Prompt: 1.0/0.0, Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 6.0/0.0, Risktol: 6.0/2.0 - Non-Counterfactual","Prompt: 1.0/0.0, Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 3.0/0.0, Denial: 8.0/2.0, Risktol: 8.0/2.0, Timeurg: 2.0/8.0 - Non-Counterfactual"
13,9,[10 10 10  9 11],Case: 3 / Pred: 10,Case: 7 / Pred: 10,Case: 15 / Pred: 10,Case: 1 / Pred: 9,Case: 2 / Pred: 11,"[3, 7, 15, 1, 2]","[0.3394824697009694, 0.3394824697009694, 0.3394824697009694, 0.33920314355080317, 0.33920314355080317]","Mission: 8.0/0.0, Denial: 8.0/2.0, Timeurg: 8.0/2.0 - Counterfactual","Mission: 2.0/0.0, Denial: 8.0/2.0, Timeurg: 8.0/2.0 - Counterfactual","Mission: 8.0/0.0, Denial: 8.0/2.0, Timeurg: 8.0/2.0 - Counterfactual","Mission: 2.0/0.0, Risktol: 7.0/2.0, Timeurg: 3.0/2.0 - Non-Counterfactual","Mission: 8.0/0.0, Risktol: 3.0/2.0, Timeurg: 8.0/2.0 - Counterfactual"
14,11,[11 11  9  9  9],Case: 6 / Pred: 11,Case: 10 / Pred: 11,Case: 1 / Pred: 9,Case: 5 / Pred: 9,Case: 9 / Pred: 9,"[6, 10, 1, 5, 9]","[0.33969331362362665, 0.33969331362362665, 0.3394824697009694, 0.3394824697009694, 0.33920314355080317]","Mission: 2.0/0.0, Denial: 8.0/3.0, Risktol: 8.0/7.0 - Non-Counterfactual","Mission: 2.0/0.0, Denial: 6.0/3.0, Risktol: 3.0/7.0 - Non-Counterfactual","Mission: 2.0/0.0, Denial: 2.0/3.0, Timeurg: 3.0/7.0 - Counterfactual","Mission: 2.0/0.0, Denial: 7.0/3.0, Timeurg: 6.0/7.0 - Counterfactual","Mission: 2.0/0.0, Risktol: 3.0/7.0, Timeurg: 3.0/7.0 - Counterfactual"
15,10,[10 10 11 10  9],Case: 3 / Pred: 10,Case: 7 / Pred: 10,Case: 2 / Pred: 11,Case: 11 / Pred: 10,Case: 13 / Pred: 9,"[3, 7, 2, 11, 13]","[0.3410032413928608, 0.34080649255609197, 0.33989070683478784, 0.33989070683478784, 0.3394824697009694]", - Non-Counterfactual,Mission: 2.0/8.0 - Non-Counterfactual,"Denial: 2.0/8.0, Risktol: 3.0/2.0 - Counterfactual","Denial: 7.0/8.0, Risktol: 8.0/2.0 - Non-Counterfactual","Mission: 0.0/8.0, Denial: 2.0/8.0, Timeurg: 2.0/8.0 - Counterfactual"
16,12,[12 12 12 12 12],Case: 20 / Pred: 12,Case: 24 / Pred: 12,Case: 28 / Pred: 12,Case: 32 / Pred: 12,Case: 0 / Pred: 12,"[20, 24, 28, 32, 0]","[0.33989070683478784, 0.3387842984711883, 0.3387842984711883, 0.3223393241678401, 0.322234001614466]","Denial: 7.0/8.0, Risktol: 3.0/8.0 - Non-Counterfactual","Mission: 8.0/3.0, Denial: 3.0/8.0, Risktol: 3.0/8.0, Timeurg: 3.0/2.0 - Non-Counterfactual","Mission: 6.0/3.0, Denial: 2.0/8.0, Risktol: 6.0/8.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Prompt: 2.0/1.0, Age: 36.0/25.0, Location: 0.0/1.0, Denial: 2.0/8.0 - Non-Counterfactual","Prompt: 0.0/1.0, Age: 22.0/25.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Mission: 2.0/3.0, Denial: 2.0/8.0 - Non-Counterfactual"
17,9,[ 9 10 10  9 11],Case: 21 / Pred: 9,Case: 23 / Pred: 10,Case: 31 / Pred: 10,Case: 25 / Pred: 9,Case: 18 / Pred: 11,"[21, 23, 31, 25, 18]","[0.34038962038266385, 0.33969331362362665, 0.3394824697009694, 0.33898222101264736, 0.3387842984711883]","Mission: 7.0/8.0, Denial: 6.0/7.0 - Non-Counterfactual","Mission: 7.0/8.0, Denial: 2.0/7.0, Risktol: 2.0/7.0 - Counterfactual","Mission: 2.0/8.0, Denial: 8.0/7.0, Timeurg: 8.0/2.0 - Counterfactual","Denial: 8.0/7.0, Risktol: 6.0/7.0, Timeurg: 6.0/2.0 - Non-Counterfactual","Mission: 2.0/8.0, Denial: 2.0/7.0, Risktol: 8.0/7.0, Timeurg: 8.0/2.0 - Counterfactual"
18,11,[10 10  9 10 11],Case: 27 / Pred: 10,Case: 31 / Pred: 10,Case: 29 / Pred: 9,Case: 19 / Pred: 10,Case: 22 / Pred: 11,"[27, 31, 29, 19, 22]","[0.3403081901700035, 0.33989070683478784, 0.33969331362362665, 0.3396799854367662, 0.3396799854367662]",Risktol: 2.0/8.0 - Counterfactual,"Denial: 8.0/2.0, Risktol: 7.0/8.0 - Counterfactual","Mission: 7.0/2.0, Denial: 4.0/2.0, Risktol: 4.0/8.0 - Counterfactual","Denial: 8.0/2.0, Timeurg: 3.0/8.0 - Counterfactual","Denial: 8.0/2.0, Timeurg: 7.0/8.0 - Non-Counterfactual"
19,10,[11 11 10  9 11],Case: 22 / Pred: 11,Case: 18 / Pred: 11,Case: 31 / Pred: 10,Case: 25 / Pred: 9,Case: 26 / Pred: 11,"[22, 18, 31, 25, 26]","[0.34009772744088324, 0.3396799854367662, 0.33940082184166687, 0.33920314355080317, 0.33898222101264736]",Timeurg: 7.0/3.0 - Counterfactual,"Denial: 2.0/8.0, Timeurg: 8.0/3.0 - Counterfactual","Risktol: 7.0/8.0, Timeurg: 8.0/3.0 - Non-Counterfactual","Mission: 8.0/2.0, Risktol: 6.0/8.0, Timeurg: 6.0/3.0 - Counterfactual","Denial: 6.0/8.0, Risktol: 3.0/8.0, Timeurg: 6.0/3.0 - Counterfactual"
20,12,[12 12 12 12 12],Case: 16 / Pred: 12,Case: 24 / Pred: 12,Case: 28 / Pred: 12,Case: 32 / Pred: 12,Case: 0 / Pred: 12,"[16, 24, 28, 32, 0]","[0.33989070683478784, 0.3394824697009694, 0.3387842984711883, 0.3216039389704758, 0.3214983755057205]","Denial: 8.0/7.0, Risktol: 8.0/3.0 - Non-Counterfactual","Mission: 8.0/3.0, Denial: 3.0/7.0, Timeurg: 3.0/2.0 - Non-Counterfactual","Mission: 6.0/3.0, Denial: 2.0/7.0, Risktol: 6.0/3.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Prompt: 2.0/1.0, Age: 36.0/25.0, Location: 0.0/1.0, Denial: 2.0/7.0, Risktol: 8.0/3.0 - Non-Counterfactual","Prompt: 0.0/1.0, Age: 22.0/25.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Mission: 2.0/3.0, Denial: 2.0/7.0, Risktol: 8.0/3.0 - Non-Counterfactual"
21,9,[ 9 10 10 11 11],Case: 17 / Pred: 9,Case: 23 / Pred: 10,Case: 31 / Pred: 10,Case: 26 / Pred: 11,Case: 30 / Pred: 11,"[17, 23, 31, 26, 30]","[0.34038962038266385, 0.33989070683478784, 0.3394824697009694, 0.33920314355080317, 0.33920314355080317]","Mission: 8.0/7.0, Denial: 7.0/6.0 - Non-Counterfactual","Denial: 2.0/6.0, Risktol: 2.0/7.0 - Counterfactual","Mission: 2.0/7.0, Denial: 8.0/6.0, Timeurg: 8.0/2.0 - Counterfactual","Mission: 2.0/7.0, Risktol: 3.0/7.0, Timeurg: 6.0/2.0 - Counterfactual","Mission: 2.0/7.0, Risktol: 3.0/7.0, Timeurg: 4.0/2.0 - Counterfactual"
22,11,[10 11 10  9 11],Case: 19 / Pred: 10,Case: 18 / Pred: 11,Case: 31 / Pred: 10,Case: 25 / Pred: 9,Case: 26 / Pred: 11,"[19, 18, 31, 25, 26]","[0.34009772744088324, 0.3396799854367662, 0.33940082184166687, 0.33920314355080317, 0.33898222101264736]",Timeurg: 3.0/7.0 - Counterfactual,"Denial: 2.0/8.0, Timeurg: 8.0/7.0 - Non-Counterfactual","Risktol: 7.0/8.0, Timeurg: 8.0/7.0 - Counterfactual","Mission: 8.0/2.0, Risktol: 6.0/8.0, Timeurg: 6.0/7.0 - Counterfactual","Denial: 6.0/8.0, Risktol: 3.0/8.0, Timeurg: 6.0/7.0 - Non-Counterfactual"
23,10,[10  9  9 11  9],Case: 27 / Pred: 10,Case: 21 / Pred: 9,Case: 17 / Pred: 9,Case: 18 / Pred: 11,Case: 29 / Pred: 9,"[27, 21, 17, 18, 29]","[0.3399004544545376, 0.33989070683478784, 0.33969331362362665, 0.33920314355080317, 0.33898222101264736]","Mission: 2.0/7.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Denial: 6.0/2.0, Risktol: 7.0/2.0 - Counterfactual","Mission: 8.0/7.0, Denial: 7.0/2.0, Risktol: 7.0/2.0 - Counterfactual","Mission: 2.0/7.0, Risktol: 8.0/2.0, Timeurg: 8.0/2.0 - Counterfactual","Denial: 4.0/2.0, Risktol: 4.0/2.0, Timeurg: 8.0/2.0 - Counterfactual"
24,12,[12 12 12 12 12],Case: 20 / Pred: 12,Case: 16 / Pred: 12,Case: 28 / Pred: 12,Case: 40 / Pred: 12,Case: 0 / Pred: 12,"[20, 16, 28, 40, 0]","[0.3394824697009694, 0.3387842984711883, 0.3387842984711883, 0.3218227232174992, 0.32053776536132667]","Mission: 3.0/8.0, Denial: 7.0/3.0, Timeurg: 2.0/3.0 - Non-Counterfactual","Mission: 3.0/8.0, Denial: 8.0/3.0, Risktol: 8.0/3.0, Timeurg: 2.0/3.0 - Non-Counterfactual","Mission: 6.0/8.0, Denial: 2.0/3.0, Risktol: 6.0/3.0, Timeurg: 8.0/3.0 - Non-Counterfactual","Prompt: 2.0/1.0, Age: 36.0/25.0, Location: 0.0/1.0, Timeurg: 6.0/3.0 - Non-Counterfactual","Prompt: 0.0/1.0, Age: 22.0/25.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Mission: 2.0/8.0, Denial: 2.0/3.0, Risktol: 8.0/3.0, Timeurg: 2.0/3.0 - Non-Counterfactual"
25,9,[11 10 11 10  9],Case: 26 / Pred: 11,Case: 19 / Pred: 10,Case: 22 / Pred: 11,Case: 31 / Pred: 10,Case: 17 / Pred: 9,"[26, 19, 22, 31, 17]","[0.33969331362362665, 0.33920314355080317, 0.33920314355080317, 0.33920314355080317, 0.33898222101264736]","Mission: 2.0/8.0, Denial: 6.0/8.0, Risktol: 3.0/6.0 - Counterfactual","Mission: 2.0/8.0, Risktol: 8.0/6.0, Timeurg: 3.0/6.0 - Counterfactual","Mission: 2.0/8.0, Risktol: 8.0/6.0, Timeurg: 7.0/6.0 - Counterfactual","Mission: 2.0/8.0, Risktol: 7.0/6.0, Timeurg: 8.0/6.0 - Counterfactual","Denial: 7.0/8.0, Risktol: 7.0/6.0, Timeurg: 2.0/6.0 - Non-Counterfactual"
26,11,[11  9  9 11 10],Case: 30 / Pred: 11,Case: 25 / Pred: 9,Case: 21 / Pred: 9,Case: 18 / Pred: 11,Case: 19 / Pred: 10,"[30, 25, 21, 18, 19]","[0.34009772744088324, 0.33969331362362665, 0.33920314355080317, 0.33898222101264736, 0.33898222101264736]",Timeurg: 4.0/6.0 - Non-Counterfactual,"Mission: 8.0/2.0, Denial: 8.0/6.0, Risktol: 6.0/3.0 - Counterfactual","Mission: 7.0/2.0, Risktol: 7.0/3.0, Timeurg: 2.0/6.0 - Counterfactual","Denial: 2.0/6.0, Risktol: 8.0/3.0, Timeurg: 8.0/6.0 - Non-Counterfactual","Denial: 8.0/6.0, Risktol: 8.0/3.0, Timeurg: 3.0/6.0 - Counterfactual"
27,10,[11 10 10  9 10],Case: 18 / Pred: 11,Case: 23 / Pred: 10,Case: 31 / Pred: 10,Case: 29 / Pred: 9,Case: 19 / Pred: 10,"[18, 23, 31, 29, 19]","[0.3403081901700035, 0.3399004544545376, 0.33989070683478784, 0.33969331362362665, 0.33898222101264736]",Risktol: 8.0/2.0 - Counterfactual,"Mission: 7.0/2.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Denial: 8.0/2.0, Risktol: 7.0/2.0 - Non-Counterfactual","Mission: 7.0/2.0, Denial: 4.0/2.0, Risktol: 4.0/2.0 - Counterfactual","Denial: 8.0/2.0, Risktol: 8.0/2.0, Timeurg: 3.0/8.0 - Non-Counterfactual"
28,12,[12 12 12 12 12],Case: 16 / Pred: 12,Case: 20 / Pred: 12,Case: 24 / Pred: 12,Case: 4 / Pred: 12,Case: 12 / Pred: 12,"[16, 20, 24, 4, 12]","[0.3387842984711883, 0.3387842984711883, 0.3387842984711883, 0.32193971043807085, 0.32193971043807085]","Mission: 3.0/6.0, Denial: 8.0/2.0, Risktol: 8.0/6.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Mission: 3.0/6.0, Denial: 7.0/2.0, Risktol: 3.0/6.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Mission: 8.0/6.0, Denial: 3.0/2.0, Risktol: 3.0/6.0, Timeurg: 3.0/8.0 - Non-Counterfactual","Prompt: 0.0/1.0, Age: 22.0/25.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Mission: 2.0/6.0, Risktol: 2.0/6.0 - Non-Counterfactual","Prompt: 0.0/1.0, Age: 22.0/25.0, Injury Type: 1.0/2.0, Severity: 0.5/0.25, Mission: 0.0/6.0, Risktol: 2.0/6.0 - Non-Counterfactual"
29,9,[11 10 10  9 10],Case: 18 / Pred: 11,Case: 27 / Pred: 10,Case: 31 / Pred: 10,Case: 21 / Pred: 9,Case: 23 / Pred: 10,"[18, 27, 31, 21, 23]","[0.33969331362362665, 0.33969331362362665, 0.33969331362362665, 0.33898222101264736, 0.33898222101264736]","Mission: 2.0/7.0, Denial: 2.0/4.0, Risktol: 8.0/4.0 - Counterfactual","Mission: 2.0/7.0, Denial: 2.0/4.0, Risktol: 2.0/4.0 - Counterfactual","Mission: 2.0/7.0, Denial: 8.0/4.0, Risktol: 7.0/4.0 - Counterfactual","Denial: 6.0/4.0, Risktol: 7.0/4.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Denial: 2.0/4.0, Risktol: 2.0/4.0, Timeurg: 2.0/8.0 - Counterfactual"
30,11,[11  9 11 10 11],Case: 26 / Pred: 11,Case: 21 / Pred: 9,Case: 18 / Pred: 11,Case: 19 / Pred: 10,Case: 22 / Pred: 11,"[26, 21, 18, 19, 22]","[0.34009772744088324, 0.33920314355080317, 0.33898222101264736, 0.33898222101264736, 0.33898222101264736]",Timeurg: 6.0/4.0 - Non-Counterfactual,"Mission: 7.0/2.0, Risktol: 7.0/3.0, Timeurg: 2.0/4.0 - Counterfactual","Denial: 2.0/6.0, Risktol: 8.0/3.0, Timeurg: 8.0/4.0 - Non-Counterfactual","Denial: 8.0/6.0, Risktol: 8.0/3.0, Timeurg: 3.0/4.0 - Counterfactual","Denial: 8.0/6.0, Risktol: 8.0/3.0, Timeurg: 7.0/4.0 - Non-Counterfactual"
31,10,[11 10  9  9  9],Case: 18 / Pred: 11,Case: 27 / Pred: 10,Case: 29 / Pred: 9,Case: 17 / Pred: 9,Case: 21 / Pred: 9,"[18, 27, 29, 17, 21]","[0.33989070683478784, 0.33989070683478784, 0.33969331362362665, 0.3394824697009694, 0.3394824697009694]","Denial: 2.0/8.0, Risktol: 8.0/7.0 - Counterfactual","Denial: 2.0/8.0, Risktol: 2.0/7.0 - Non-Counterfactual","Mission: 7.0/2.0, Denial: 4.0/8.0, Risktol: 4.0/7.0 - Counterfactual","Mission: 8.0/2.0, Denial: 7.0/8.0, Timeurg: 2.0/8.0 - Counterfactual","Mission: 7.0/2.0, Denial: 6.0/8.0, Timeurg: 2.0/8.0 - Counterfactual"
32,12,[12 12 12 12 12],Case: 36 / Pred: 12,Case: 40 / Pred: 12,Case: 44 / Pred: 12,Case: 48 / Pred: 12,Case: 52 / Pred: 12,"[36, 40, 44, 48, 52]","[0.34080649255609197, 0.3387842984711883, 0.3387842984711883, 0.32908870640400195, 0.32816411300895304]",Mission: 2.0/3.0 - Non-Counterfactual,"Mission: 8.0/3.0, Denial: 3.0/2.0, Risktol: 3.0/8.0, Timeurg: 6.0/2.0 - Non-Counterfactual","Mission: 7.0/3.0, Denial: 8.0/2.0, Risktol: 0.0/8.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Prompt: 3.0/2.0, Age: 40.0/36.0, Rank: 0.0/1.0, Location: 3.0/0.0, Denial: 8.0/2.0 - Non-Counterfactual","Prompt: 3.0/2.0, Age: 40.0/36.0, Rank: 0.0/1.0, Location: 3.0/0.0, Mission: 2.0/3.0, Denial: 8.0/2.0, Risktol: 2.0/8.0 - Non-Counterfactual"
