Index,Actual Outcome,Predicted,Sim#1,Sim#2,Sim#3,Sim#4,Sim#5,Similar_Index,Distance,Diff#1,Diff#2,Diff#3,Diff#4,Diff#5
[10],14,[13 14 15 12 14],Sample: 7 / Pred: 13,Sample: 26 / Pred: 14,Sample: 4 / Pred: 15,Sample: 5 / Pred: 12,Sample: 30 / Pred: 14,"[7, 26, 4, 5, 30]","[2.45, 3.61, 4.24, 4.24, 4.59]","Denial: 8.0/6.0, Risktol: 2.0/3.0, Timeurg: 8.0/7.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Timeurg: 6.0/7.0","Denial: 2.0/6.0, Risktol: 2.0/3.0, Timeurg: 8.0/7.0","Denial: 7.0/6.0, Risktol: 7.0/3.0, Timeurg: 6.0/7.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Timeurg: 4.0/7.0"
[11],13,[12 13 13 14 12],Sample: 25 / Pred: 12,Sample: 15 / Pred: 13,Sample: 3 / Pred: 13,Sample: 6 / Pred: 14,Sample: 29 / Pred: 12,"[25, 15, 3, 6, 29]","[4.59, 6.08, 6.08, 6.16, 6.17]","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Denial: 8.0/7.0, Risktol: 6.0/8.0, Timeurg: 6.0/8.0","Denial: 8.0/7.0, Risktol: 2.0/8.0","Denial: 8.0/7.0, Risktol: 2.0/8.0","Mission: 2.0/8.0, Denial: 8.0/7.0, Timeurg: 7.0/8.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 7.0/8.0, Denial: 4.0/7.0, Risktol: 4.0/8.0"
[12],15,[15 13 14 14 12],Sample: 4 / Pred: 15,Sample: 27 / Pred: 13,Sample: 10 / Pred: 14,Sample: 14 / Pred: 14,Sample: 9 / Pred: 12,"[4, 27, 10, 14, 9]","[2.0, 4.01, 4.69, 5.2, 5.57]",Mission: 2.0/0.0,"Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 2.0/0.0","Mission: 2.0/0.0, Denial: 6.0/2.0, Risktol: 3.0/2.0, Timeurg: 7.0/8.0","Denial: 3.0/2.0, Risktol: 7.0/2.0, Timeurg: 7.0/8.0","Mission: 2.0/0.0, Denial: 3.0/2.0, Risktol: 3.0/2.0, Timeurg: 3.0/8.0"
[13],12,[15 12 12 15 14],Sample: 8 / Pred: 15,Sample: 9 / Pred: 12,Sample: 1 / Pred: 12,Sample: 12 / Pred: 15,Sample: 30 / Pred: 14,"[8, 9, 1, 12, 30]","[2.0, 2.65, 5.48, 6.0, 6.09]",Mission: 2.0/0.0,"Mission: 2.0/0.0, Denial: 3.0/2.0, Risktol: 3.0/2.0, Timeurg: 3.0/2.0","Mission: 2.0/0.0, Risktol: 7.0/2.0, Timeurg: 3.0/2.0",Timeurg: 8.0/2.0,"Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 2.0/0.0, Denial: 6.0/2.0, Risktol: 3.0/2.0, Timeurg: 4.0/2.0"
[14],14,[14 12 12 15 14],Sample: 18 / Pred: 14,Sample: 1 / Pred: 12,Sample: 5 / Pred: 12,Sample: 12 / Pred: 15,Sample: 10 / Pred: 14,"[18, 1, 5, 12, 10]","[4.37, 4.58, 4.58, 5.2, 5.39]","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 2.0/0.0, Denial: 2.0/3.0, Risktol: 8.0/7.0, Timeurg: 8.0/7.0","Mission: 2.0/0.0, Denial: 2.0/3.0, Timeurg: 3.0/7.0","Mission: 2.0/0.0, Denial: 7.0/3.0, Timeurg: 6.0/7.0","Denial: 2.0/3.0, Risktol: 2.0/7.0, Timeurg: 8.0/7.0","Mission: 2.0/0.0, Denial: 6.0/3.0, Risktol: 3.0/7.0"
[15],13,[13 12 12 13 14],Sample: 3 / Pred: 13,Sample: 25 / Pred: 12,Sample: 29 / Pred: 12,Sample: 7 / Pred: 13,Sample: 2 / Pred: 14,"[3, 25, 29, 7, 2]","[0.0, 5.66, 5.75, 6.0, 6.08]",,"Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Risktol: 6.0/2.0, Timeurg: 6.0/8.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 7.0/8.0, Denial: 4.0/8.0, Risktol: 4.0/2.0",Mission: 2.0/8.0,"Denial: 2.0/8.0, Risktol: 3.0/2.0"
[16],15,[13 12 14 15 12],Sample: 19 / Pred: 13,Sample: 21 / Pred: 12,Sample: 22 / Pred: 14,Sample: 20 / Pred: 15,Sample: 17 / Pred: 12,"[19, 21, 22, 20, 17]","[1.41, 4.58, 5.1, 5.1, 5.2]","Mission: 2.0/3.0, Timeurg: 3.0/2.0","Mission: 7.0/3.0, Denial: 6.0/8.0, Risktol: 7.0/8.0","Mission: 2.0/3.0, Timeurg: 7.0/2.0","Denial: 7.0/8.0, Risktol: 3.0/8.0","Mission: 8.0/3.0, Denial: 7.0/8.0, Risktol: 7.0/8.0"
[17],12,[12 12 15 10 10],Sample: 21 / Pred: 12,Sample: 25 / Pred: 12,Sample: 16 / Pred: 15,Sample: 85 / Pred: 10,Sample: 81 / Pred: 10,"[21, 25, 16, 85, 81]","[1.41, 4.24, 5.2, 5.29, 5.29]","Mission: 7.0/8.0, Denial: 6.0/7.0","Denial: 8.0/7.0, Risktol: 6.0/7.0, Timeurg: 6.0/2.0","Mission: 3.0/8.0, Denial: 8.0/7.0, Risktol: 8.0/7.0","Type: 1.0/2.0, Prompt: 6.0/1.0, Mission: 7.0/8.0, Timeurg: 3.0/2.0","Type: 1.0/2.0, Prompt: 6.0/1.0, Mission: 7.0/8.0, Timeurg: 3.0/2.0"
[18],14,[14 15 12 13 13],Sample: 14 / Pred: 14,Sample: 28 / Pred: 15,Sample: 65 / Pred: 12,Sample: 27 / Pred: 13,Sample: 31 / Pred: 13,"[14, 28, 65, 27, 31]","[4.37, 4.47, 5.96, 6.0, 6.08]","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 0.0/2.0, Denial: 3.0/2.0, Risktol: 7.0/8.0, Timeurg: 7.0/8.0","Mission: 6.0/2.0, Risktol: 6.0/8.0","Prompt: 4.0/1.0, Name: 5.0/2.0, Age: 26.0/25.0, Injury Type: 0.0/3.0, Severity: 1.0/0.25, Location: 3.0/2.0, Denial: 3.0/2.0, Risktol: 6.0/8.0, Timeurg: 7.0/8.0",Risktol: 2.0/8.0,"Denial: 8.0/2.0, Risktol: 7.0/8.0"
[19],13,[15 14 12 13 15],Sample: 16 / Pred: 15,Sample: 22 / Pred: 14,Sample: 5 / Pred: 12,Sample: 31 / Pred: 13,Sample: 20 / Pred: 15,"[16, 22, 5, 31, 20]","[1.41, 4.0, 4.8, 5.1, 5.29]","Mission: 3.0/2.0, Timeurg: 2.0/3.0",Timeurg: 7.0/3.0,"Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Denial: 7.0/8.0, Risktol: 7.0/8.0, Timeurg: 6.0/3.0","Risktol: 7.0/8.0, Timeurg: 8.0/3.0","Mission: 3.0/2.0, Denial: 7.0/8.0, Risktol: 3.0/8.0, Timeurg: 2.0/3.0"
[20],15,[14 14 15 13 12],Sample: 30 / Pred: 14,Sample: 26 / Pred: 14,Sample: 16 / Pred: 15,Sample: 19 / Pred: 13,Sample: 9 / Pred: 12,"[30, 26, 16, 19, 9]","[2.45, 4.24, 5.1, 5.29, 5.48]","Mission: 2.0/3.0, Denial: 6.0/7.0, Timeurg: 4.0/2.0","Mission: 2.0/3.0, Denial: 6.0/7.0, Timeurg: 6.0/2.0","Denial: 8.0/7.0, Risktol: 8.0/3.0","Mission: 2.0/3.0, Denial: 8.0/7.0, Risktol: 8.0/3.0, Timeurg: 3.0/2.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 2.0/3.0, Denial: 3.0/7.0, Timeurg: 3.0/2.0"
[21],12,[12 15 12 15 10],Sample: 17 / Pred: 12,Sample: 16 / Pred: 15,Sample: 25 / Pred: 12,Sample: 24 / Pred: 15,Sample: 81 / Pred: 10,"[17, 16, 25, 24, 81]","[1.41, 4.58, 4.69, 5.2, 5.29]","Mission: 8.0/7.0, Denial: 7.0/6.0","Mission: 3.0/7.0, Denial: 8.0/6.0, Risktol: 8.0/7.0","Mission: 8.0/7.0, Denial: 8.0/6.0, Risktol: 6.0/7.0, Timeurg: 6.0/2.0","Mission: 8.0/7.0, Denial: 3.0/6.0, Risktol: 3.0/7.0, Timeurg: 3.0/2.0","Type: 1.0/2.0, Prompt: 6.0/1.0, Denial: 7.0/6.0, Timeurg: 3.0/2.0"
[22],14,[13 14 12 13 15],Sample: 31 / Pred: 13,Sample: 6 / Pred: 14,Sample: 5 / Pred: 12,Sample: 19 / Pred: 13,Sample: 16 / Pred: 15,"[31, 6, 5, 19, 16]","[1.41, 3.47, 3.88, 4.0, 5.1]","Risktol: 7.0/8.0, Timeurg: 8.0/7.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Denial: 7.0/8.0, Risktol: 7.0/8.0, Timeurg: 6.0/7.0",Timeurg: 3.0/7.0,"Mission: 3.0/2.0, Timeurg: 2.0/7.0"
[23],13,[15 10 15 13 15],Sample: 24 / Pred: 15,Sample: 89 / Pred: 10,Sample: 68 / Pred: 15,Sample: 71 / Pred: 13,Sample: 8 / Pred: 15,"[24, 89, 68, 71, 8]","[2.0, 5.48, 5.53, 5.53, 6.09]","Mission: 8.0/7.0, Denial: 3.0/2.0, Risktol: 3.0/2.0, Timeurg: 3.0/2.0","Type: 1.0/2.0, Prompt: 6.0/1.0, Risktol: 4.0/2.0","Prompt: 4.0/1.0, Name: 5.0/2.0, Age: 26.0/25.0, Injury Type: 0.0/3.0, Severity: 1.0/0.25, Location: 3.0/2.0, Mission: 8.0/7.0","Prompt: 4.0/1.0, Name: 5.0/2.0, Age: 26.0/25.0, Injury Type: 0.0/3.0, Severity: 1.0/0.25, Location: 3.0/2.0, Mission: 8.0/7.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 2.0/7.0"
[24],15,[13 12 12 10 15],Sample: 23 / Pred: 13,Sample: 21 / Pred: 12,Sample: 29 / Pred: 12,Sample: 89 / Pred: 10,Sample: 68 / Pred: 15,"[23, 21, 29, 89, 68]","[2.0, 5.2, 5.29, 5.48, 5.71]","Mission: 7.0/8.0, Denial: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 2.0/3.0","Mission: 7.0/8.0, Denial: 6.0/3.0, Risktol: 7.0/3.0, Timeurg: 2.0/3.0","Mission: 7.0/8.0, Denial: 4.0/3.0, Risktol: 4.0/3.0, Timeurg: 8.0/3.0","Type: 1.0/2.0, Prompt: 6.0/1.0, Mission: 7.0/8.0, Denial: 2.0/3.0, Risktol: 4.0/3.0, Timeurg: 2.0/3.0","Prompt: 4.0/1.0, Name: 5.0/2.0, Age: 26.0/25.0, Injury Type: 0.0/3.0, Severity: 1.0/0.25, Location: 3.0/2.0, Denial: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 2.0/3.0"
[25],12,[12 13 12 12 13],Sample: 17 / Pred: 12,Sample: 11 / Pred: 13,Sample: 21 / Pred: 12,Sample: 29 / Pred: 12,Sample: 3 / Pred: 13,"[17, 11, 21, 29, 3]","[4.24, 4.59, 4.69, 5.0, 5.66]","Denial: 7.0/8.0, Risktol: 7.0/6.0, Timeurg: 2.0/6.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Denial: 7.0/8.0, Risktol: 8.0/6.0, Timeurg: 8.0/6.0","Mission: 7.0/8.0, Denial: 6.0/8.0, Risktol: 7.0/6.0, Timeurg: 2.0/6.0","Mission: 7.0/8.0, Denial: 4.0/8.0, Risktol: 4.0/6.0, Timeurg: 8.0/6.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Risktol: 2.0/6.0, Timeurg: 8.0/6.0"
[26],14,[14 14 15 13 13],Sample: 30 / Pred: 14,Sample: 10 / Pred: 14,Sample: 20 / Pred: 15,Sample: 27 / Pred: 13,Sample: 7 / Pred: 13,"[30, 10, 20, 27, 7]","[2.0, 3.61, 4.24, 4.58, 4.59]",Timeurg: 4.0/6.0,"Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Timeurg: 7.0/6.0","Mission: 3.0/2.0, Denial: 7.0/6.0, Timeurg: 2.0/6.0","Denial: 2.0/6.0, Risktol: 2.0/3.0, Timeurg: 8.0/6.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Denial: 8.0/6.0, Risktol: 2.0/3.0, Timeurg: 8.0/6.0"
[27],13,[15 15 14 14 14],Sample: 4 / Pred: 15,Sample: 12 / Pred: 15,Sample: 26 / Pred: 14,Sample: 10 / Pred: 14,Sample: 66 / Pred: 14,"[4, 12, 26, 10, 66]","[3.47, 4.01, 4.58, 5.48, 5.53]","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 0.0/2.0","Denial: 6.0/2.0, Risktol: 3.0/2.0, Timeurg: 6.0/8.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Denial: 6.0/2.0, Risktol: 3.0/2.0, Timeurg: 7.0/8.0","Prompt: 4.0/1.0, Name: 5.0/2.0, Age: 26.0/25.0, Injury Type: 0.0/3.0, Severity: 1.0/0.25, Location: 3.0/2.0, Risktol: 3.0/2.0"
[28],15,[12 14 14 13 10],Sample: 29 / Pred: 12,Sample: 18 / Pred: 14,Sample: 2 / Pred: 14,Sample: 27 / Pred: 13,Sample: 93 / Pred: 10,"[29, 18, 2, 27, 93]","[3.0, 4.47, 5.01, 5.66, 5.83]","Mission: 7.0/6.0, Denial: 4.0/2.0, Risktol: 4.0/6.0","Mission: 2.0/6.0, Risktol: 8.0/6.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 8.0/6.0, Risktol: 3.0/6.0","Mission: 2.0/6.0, Risktol: 2.0/6.0","Type: 1.0/2.0, Prompt: 6.0/1.0, Mission: 4.0/6.0, Timeurg: 6.0/8.0"
[29],12,[15 14 12 15 13],Sample: 28 / Pred: 15,Sample: 2 / Pred: 14,Sample: 25 / Pred: 12,Sample: 24 / Pred: 15,Sample: 27 / Pred: 13,"[28, 2, 25, 24, 27]","[3.0, 4.25, 5.0, 5.29, 5.74]","Mission: 6.0/7.0, Denial: 2.0/4.0, Risktol: 6.0/4.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Mission: 8.0/7.0, Denial: 2.0/4.0, Risktol: 3.0/4.0","Mission: 8.0/7.0, Denial: 8.0/4.0, Risktol: 6.0/4.0, Timeurg: 6.0/8.0","Mission: 8.0/7.0, Denial: 3.0/4.0, Risktol: 3.0/4.0, Timeurg: 3.0/8.0","Mission: 2.0/7.0, Denial: 2.0/4.0, Risktol: 2.0/4.0"
[30],14,[14 15 14 12 13],Sample: 26 / Pred: 14,Sample: 20 / Pred: 15,Sample: 10 / Pred: 14,Sample: 9 / Pred: 12,Sample: 19 / Pred: 13,"[26, 20, 10, 9, 19]","[2.0, 2.45, 4.59, 4.7, 5.48]",Timeurg: 6.0/4.0,"Mission: 3.0/2.0, Denial: 7.0/6.0, Timeurg: 2.0/4.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Timeurg: 7.0/4.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Denial: 3.0/6.0, Timeurg: 3.0/4.0","Denial: 8.0/6.0, Risktol: 8.0/3.0, Timeurg: 3.0/4.0"
[31],13,[14 14 12 14 13],Sample: 22 / Pred: 14,Sample: 6 / Pred: 14,Sample: 5 / Pred: 12,Sample: 26 / Pred: 14,Sample: 19 / Pred: 13,"[22, 6, 5, 26, 19]","[1.41, 3.75, 4.13, 4.9, 5.1]","Risktol: 8.0/7.0, Timeurg: 7.0/8.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Risktol: 8.0/7.0, Timeurg: 7.0/8.0","Prompt: 0.0/1.0, Name: 1.0/2.0, Age: 22.0/25.0, Injury Type: 2.0/3.0, Severity: 0.5/0.25, Denial: 7.0/8.0, Timeurg: 6.0/8.0","Denial: 6.0/8.0, Risktol: 3.0/7.0, Timeurg: 6.0/8.0","Risktol: 8.0/7.0, Timeurg: 3.0/8.0"
[32],15,[15 12 14 12 14],Sample: 36 / Pred: 15,Sample: 33 / Pred: 12,Sample: 54 / Pred: 14,Sample: 37 / Pred: 12,Sample: 42 / Pred: 14,"[36, 33, 54, 37, 42]","[1.0, 4.24, 5.57, 5.83, 6.56]",Mission: 2.0/3.0,"Mission: 7.0/3.0, Risktol: 7.0/8.0, Timeurg: 3.0/2.0","Prompt: 3.0/2.0, Name: 4.0/3.0, Age: 40.0/36.0, Rank: 1.0/2.0, Location: 4.0/1.0, Mission: 2.0/3.0, Denial: 3.0/2.0, Risktol: 7.0/8.0","Mission: 7.0/3.0, Denial: 6.0/2.0, Risktol: 7.0/8.0, Timeurg: 3.0/2.0","Mission: 4.0/3.0, Denial: 3.0/2.0, Risktol: 3.0/8.0, Timeurg: 6.0/2.0"
[33],12,[12 15 14 10 15],Sample: 37 / Pred: 12,Sample: 32 / Pred: 15,Sample: 38 / Pred: 14,Sample: 90 / Pred: 10,Sample: 36 / Pred: 15,"[37, 32, 38, 90, 36]","[4.0, 4.24, 4.24, 4.36, 5.2]",Denial: 6.0/2.0,"Mission: 3.0/7.0, Risktol: 8.0/7.0, Timeurg: 2.0/3.0","Mission: 8.0/7.0, Risktol: 6.0/7.0, Timeurg: 7.0/3.0","Type: 1.0/2.0, Prompt: 6.0/2.0, Mission: 8.0/7.0, Risktol: 6.0/7.0","Mission: 2.0/7.0, Risktol: 8.0/7.0, Timeurg: 2.0/3.0"
