Feature,Variable Value,Output text,Variable,Range
pBrainInjury,,The probability of brain damage was,pBrainInjury,
pBrainInjury.stdev,,The standard deviation of the probability of brain damage was,pBrainInjury.stdev,
pDeath,,The probability of death was,pDeath,
pDeath.stdev,,The standard deviation of the probability of death was,pDeath.stdev,
perceivedquantityoflivessaved,,The perceived quantity of lives saved was,perceivedquantityoflivessaved,
pExternalBleeding,,The probability of external bleeding was,pExternalBleeding,
pExternalBleeding.stdev,,The standard deviation of the probability of  external bleeding was,pExternalBleeding.stdev,
pInternalBleeding,,The probability of internal bleeding was,pInternalBleeding,
pInternalBleeding.stdev,,The standard deviation of the probability of  internal bleeding was,pInternalBleeding.stdev,
pPain,,The probability of pain was,pPain,
pPain.stdev,,The standard deviation of the probability of pain was,pPain.stdev,
qualityoflife,,The quality of life of was,qualityoflife,
rank,,The rank of the casualty was,rank,
relationship,,The relationship of the decision maker to the casualty was,relationship,
Satisfactory Priority,0,The satisfactory priority was not taken into account,,
Satisfactory Priority,1,The satisfactory priority was taken into account,,
SEVEREST_SEVERITY,,The most severe severity was,SEVEREST_SEVERITY,
SEVEREST_SEVERITY_CHANGE,,The change in the most severe severity was,SEVEREST_SEVERITY_CHANGE,
SEVERITY,,The severity of the injury was,SEVERITY,
SEVERITY_CHANGE,,The change in severity of the injury was,SEVERITY_CHANGE,
SMOL_MEDICAL_SOUNDNESS,,The medical soundness score of the decision was,,
SMOL_MEDICAL_SOUNDNESS.stdev,,The standard deviation of the medical soundness score was,SMOL_MEDICAL_SOUNDNESS.stdev,
STANDARD_TIME_SEVERITY,,The standard time severity was,STANDARD_TIME_SEVERITY,
SUPPLIES_REMAINING,,The quantity of supplies remaining was,SUPPLIES_REMAINING,
SUPPLIES_USED,,The quantity of supplies used was,SUPPLIES_USED,
tagged,MINOR,The casualty was tagged as Minor (Green),tagged,
tagged,DELAYED,The casualty was tagged as Delayed (Yellow),tagged,
tagged,IMMEDIATE,The casualty was tagged as Immediate (Red),tagged,
tagged,EXPECTANT,The casualty was tagged as Expectant (Black),tagged,
Take-The-Best Priority,0,Take the best priority was not considered,Take-The-Best Priority,
Take-The-Best Priority,1,Take the best priority was considered,Take-The-Best Priority,
Tallying Priority,0,The tallying priority was not considered,Tallying Priority,
Tallying Priority,1,The tallying priority was considered,Tallying Priority,
treatment,,The treatment given was,treatment,
unvisited_count,,The count of unvisited count was,,
visited,TRUE,The casualty had been visited,visited,
visited,FALSE,The casualty had not been visited,visited,
WEIGHTED_RESOURCE_SCORE,,The weighted resource score was,WEIGHTED_RESOURCE_SCORE,
environment_type,,The type of environment type was,environment_type,
CASUALTY_DAMAGE_PER_SECOND.casualty_a,,The damage per second for casualty a was,CASUALTY_DAMAGE_PER_SECOND.casualty_a,
CASUALTY_DAMAGE_PER_SECOND.casualty_g,,The damage per second for casualty b was,CASUALTY_DAMAGE_PER_SECOND.casualty_g,
CASUALTY_DAMAGE_PER_SECOND.casualty_h,,The damage per second for casualty h was,CASUALTY_DAMAGE_PER_SECOND.casualty_h,
CASUALTY_DAMAGE_PER_SECOND.casualty_l,,The damage per second for casualty l was,CASUALTY_DAMAGE_PER_SECOND.casualty_l,
CASUALTY_DAMAGE_PER_SECOND.casualty_m,,The damage per second for casualty m was,CASUALTY_DAMAGE_PER_SECOND.casualty_m,
CASUALTY_DAMAGE_PER_SECOND.casualty_n,,The damage per second for casualty n was,CASUALTY_DAMAGE_PER_SECOND.casualty_n,
CASUALTY_DAMAGE_PER_SECOND.casualty_o,,The damage per second for casualty o was,CASUALTY_DAMAGE_PE_SECOND.casualty_o,
CASUALTY_DAMAGE_PER_SECOND.casualty_u,,The damage per second for casualty u was,CASUALTY_DAMAGE_PER_SECOND.casualty_u,
CASUALTY_DAMAGE_PER_SECOND.casualty_w,,The damage per second for casualty w was,CASUALTY_DAMAGE_PER_SECOND.casualty_w,
CASUALTY_DAMAGE_PER_SECOND.casualty_x,,The damage per second for casualty x was,CASUALTY_DAMAGE_PER_SECOND.casualty_x,
CASUALTY_DAMAGE_PER_SECOND.casualty_y,,The damage per second for casualty y was,CASUALTY_DAMAGE_PER_SECOND.casualty_y,
CASUALTY_DAMAGE_PER_SECOND.casualty_z,,The damage per second for casualty z was,CASUALTY_DAMAGE_PER_SECOND.casualty_z,
CASUALTY_P_DEATH.casualty_a,,Probability of death for casualty a was,CASUALTY_P_DEATH.casualty_a,
CASUALTY_P_DEATH.casualty_g,,Probability of death for casualty g was,CASUALTY_P_DEATH.casualty_g,
CASUALTY_P_DEATH.casualty_h,,Probability of death for casualty h was,CASUALTY_P_DEATH.casualty_h,
CASUALTY_P_DEATH.casualty_l,,Probability of death for casualty l was,CASUALTY_P_DEATH.casualty_l,
CASUALTY_P_DEATH.casualty_m,,Probability of death for casualty m was,CASUALTY_P_DEATH.casualty_m,
CASUALTY_P_DEATH.casualty_n,,Probability of death for casualty n was,CASUALTY_P_DEATH.casualty_n,
CASUALTY_P_DEATH.casualty_o,,Probability of death for casualty o was,CASUALTY_P_DEATH.casualty_o,
CASUALTY_P_DEATH.casualty_u,,Probability of death for casualty u was,CASUALTY_P_DEATH.casualty_u,
CASUALTY_P_DEATH.casualty_w,,Probability of death for casualty w was,CASUALTY_P_DEATH.casualty_w,
CASUALTY_P_DEATH.casualty_x,,Probability of death for casualty x was,CASUALTY_P_DEATH.casualty_x,
CASUALTY_P_DEATH.casualty_y,,Probability of death for casualty y was,CASUALTY_P_DEATH.casualty_y,
CASUALTY_P_DEATH.casualty_z,,Probability of death for casualty z was,CASUALTY_P_DEATH.casualty_z,
CASUALTY_SEVERITY.casualty_a,,The severity of casualty a was,CASUALTY_SEVERITY.casualty_a,
CASUALTY_SEVERITY.casualty_g,,The severity of casualty g was,CASUALTY_SEVERITY.casualty_g,
CASUALTY_SEVERITY.casualty_h,,The severity of casualty h was,CASUALTY_SEVERITY.casualty_h,
CASUALTY_SEVERITY.casualty_l,,The severity of casualty l was,CASUALTY_SEVERITY.casualty_l,
CASUALTY_SEVERITY.casualty_m,,The severity of casualty m was,CASUALTY_SEVERITY.casualty_m,
CASUALTY_SEVERITY.casualty_n,,The severity of casualty n was,CASUALTY_SEVERITY.casualty_n,
CASUALTY_SEVERITY.casualty_o,,The severity of casualty o was,CASUALTY_SEVERITY.casualty_o,
CASUALTY_SEVERITY.casualty_u,,The severity of casualty u was,CASUALTY_SEVERITY.casualty_u,
CASUALTY_SEVERITY.casualty_w,,The severity of casualty w was,CASUALTY_SEVERITY.casualty_w,
CASUALTY_SEVERITY.casualty_x,,The severity of casualty x was,CASUALTY_SEVERITY.casualty_x,
CASUALTY_SEVERITY.casualty_y,,The severity of casualty y was,CASUALTY_SEVERITY.casualty_y,
CASUALTY_SEVERITY.casualty_z,,The severity of casualty z was,CASUALTY_SEVERITY.casualty_z,
