probe_id,probe,network_status,expense_type,children_under_4,children_under_12,children_under_18,children_under_26,employment_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,val1,val2,val3,val4,action,kdma,kdma_value
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,3,2,2,3,Salaried,4138,0,Owns,37,25,52,10,0,200,100,100,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,2,3,1,3,Salaried,3601,0,Owns,17,31,54,0,25,40,200,40,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,1,2,1,1,Salaried,4742,0,Rents,15,38,56,80,40,20,15,40,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,0,1,0,Hourly,152,1,Owns,8,6,13,600,1600,0,200,1600,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,3,3,4,2,Salaried,4539,0,Owns,45,75,83,70,50,100,80,70,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,1,1,1,0,Bonus,2793,1,Owns,9,9,1,15,80,20,40,80,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,0,0,0,1,Bonus,381,0,Owns,2,6,13,70,50,80,60,50,RISK,low
18,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,1,2,3,1,Salaried,4592,1,Rents,37,41,60,15,20,10,10,15,RISK,low
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,2,0,1,2,Bonus,2742,0,Owns,17,20,28,10,200,0,100,200,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,1,0,2,1,Hourly,3561,1,Owns,12,13,26,40,80,20,15,80,RISK,low
20,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,0,0,0,0,Bonus,2363,1,Rents,6,5,5,10,100,50,30,100,RISK,low
10,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,3,3,2,3,Salaried,4742,0,Rents,35,65,80,120,60,100,0,100,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,3,1,3,2,Salaried,4038,1,Rents,28,36,62,200,0,40,25,40,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,1,2,2,Bonus,3409,1,Rents,30,29,55,80,60,50,70,60,RISK,low
10,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,1,2,1,1,Salaried,4742,0,Rents,15,38,56,100,0,120,60,100,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,1,1,0,0,Bonus,1139,0,Owns,6,6,5,40,0,25,200,200,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,4,4,2,3,Salaried,792,0,Owns,50,55,84,40,20,15,80,40,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,2,3,2,1,Bonus,3149,0,Owns,17,29,55,60,70,50,80,60,RISK,low
15,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,2,2,1,2,Salaried,3664,0,Owns,7,16,39,70,70,50,80,50,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,0,1,0,0,Bonus,2639,0,Rents,5,14,29,600,200,0,1600,1600,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,2,2,1,1,Bonus,2804,0,Owns,26,20,55,200,0,1600,600,600,RISK,low
5,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,2,1,3,2,Hourly,3561,1,Owns,28,26,51,1500,6450,2000,4000,4000,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,2,3,4,2,Salaried,1919,0,Owns,48,61,80,0,1600,600,200,600,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,4,4,2,2,Bonus,3643,0,Rents,59,56,100,70,100,80,50,70,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,4,3,3,3,Hourly,4826,0,Owns,47,63,98,100,80,70,50,70,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,4,4,3,2,Hourly,2246,0,Owns,62,60,83,1600,200,0,600,600,RISK,low
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,0,0,0,1,Bonus,381,0,Owns,2,6,13,100,0,200,10,200,RISK,low
10,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,0,0,0,1,Hourly,2954,1,Owns,10,7,6,120,100,60,0,120,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,0,1,1,0,Salaried,1012,1,Owns,8,2,25,1600,600,0,200,1600,RISK,low
14,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,3,4,2,3,Hourly,176,1,Rents,45,70,81,95,80,90,100,90,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,3,4,3,4,Hourly,1596,1,Owns,50,55,76,80,20,15,40,40,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,3,4,3,4,Salaried,4259,1,Rents,37,70,81,70,80,60,50,60,RISK,low
10,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,0,1,1,2,Salaried,3990,0,Rents,13,12,28,100,0,60,120,120,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,2,4,3,4,Salaried,4555,0,Rents,42,55,84,70,50,60,80,60,RISK,low
16,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,3,4,2,3,Bonus,4199,0,Owns,57,67,81,50,75,30,0,50,RISK,low
15,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,1,0,1,0,Salaried,1855,0,Rents,9,10,10,70,50,70,80,50,RISK,low
16,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,1,1,2,0,Hourly,4144,0,Owns,9,13,26,0,75,50,30,75,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,1,0,2,Bonus,4027,1,Rents,8,14,29,1600,200,0,600,1600,RISK,low
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,1,0,0,0,Hourly,2384,0,Rents,6,17,32,200,10,100,0,200,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,3,1,3,1,Salaried,1366,0,Owns,32,33,56,70,80,60,50,60,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,1,1,1,Hourly,2384,0,Rents,17,40,57,80,50,100,70,70,RISK,low
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,0,1,1,1,Salaried,3990,0,Rents,6,1,2,0,200,10,100,200,RISK,low
20,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,2,1,0,2,Salaried,1125,1,Rents,6,12,28,50,10,30,100,100,RISK,low
20,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,3,1,1,1,Hourly,4826,0,Owns,25,35,73,50,30,100,10,50,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,0,Salaried,4742,0,Rents,0,6,5,1600,200,600,0,1600,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,1,1,3,Bonus,381,0,Owns,20,38,64,50,80,60,70,60,RISK,low
10,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,2,2,3,2,Bonus,1006,0,Owns,50,63,98,120,100,0,60,100,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,0,Bonus,1248,1,Rents,1,10,10,200,600,1600,0,1600,RISK,low
18,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,1,1,0,2,Bonus,4027,1,Rents,8,14,29,15,10,10,20,20,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,0,0,0,0,Bonus,2363,1,Rents,6,5,5,40,25,0,200,200,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,3,2,2,1,Salaried,3352,1,Rents,18,48,52,600,200,0,1600,600,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,0,0,0,0,Salaried,1625,0,Owns,8,6,5,1600,0,600,200,1600,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,3,2,1,3,Salaried,4377,0,Rents,24,48,52,25,200,0,40,40,RISK,low
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,1,1,1,1,Hourly,874,0,Owns,17,17,35,100,10,0,200,200,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,1,1,1,3,Bonus,4027,1,Rents,21,31,54,0,200,1600,600,600,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,3,1,3,2,Salaried,4038,1,Rents,28,36,62,50,80,70,100,70,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,0,0,1,Salaried,1125,1,Rents,1,1,2,100,70,80,50,50,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,0,0,1,0,Salaried,1214,0,Owns,6,17,32,80,15,40,20,80,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,1,2,1,Bonus,3085,0,Rents,9,12,39,80,60,70,50,50,RISK,low
18,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,1,0,0,0,Salaried,153,1,Owns,5,15,31,20,10,10,15,20,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,1,1,1,Bonus,1972,1,Owns,38,31,55,60,80,50,70,60,RISK,low
20,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,1,3,2,3,Hourly,1019,1,Owns,35,50,53,100,10,50,30,50,RISK,low
10,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,1,0,0,1,Bonus,2742,0,Owns,10,10,2,100,60,0,120,120,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,1,1,1,Bonus,2363,1,Rents,29,36,56,50,60,80,70,60,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,3,4,4,3,Bonus,4493,1,Owns,64,60,78,1600,200,600,0,600,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,4,3,4,3,Hourly,1593,0,Owns,36,55,76,0,40,200,25,40,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,2,1,1,2,Salaried,4138,0,Owns,17,13,27,600,200,1600,0,1600,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,1,2,3,1,Salaried,4592,1,Rents,37,41,60,600,0,200,1600,600,RISK,low
5,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,1,1,1,1,Hourly,874,0,Owns,17,17,35,6450,2000,1500,4000,6450,RISK,low
20,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,2,2,3,1,Hourly,2547,1,Owns,32,36,62,50,100,10,30,50,RISK,low
20,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,0,0,0,1,Hourly,2183,1,Owns,1,5,23,10,30,50,100,100,RISK,low
20,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,4,4,2,4,Bonus,4623,1,Owns,40,73,76,50,30,10,100,50,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,1,1,3,2,Bonus,3179,0,Rents,21,26,51,40,0,25,200,40,RISK,low
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,1,2,1,1,Hourly,4470,1,Owns,16,35,73,0,10,200,100,100,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,2,1,1,1,Hourly,2665,0,Rents,20,29,55,70,80,50,60,60,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,1,1,0,0,Hourly,1178,0,Owns,0,1,13,20,15,80,40,80,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,2,2,3,2,Bonus,1006,0,Owns,50,63,98,40,80,20,15,40,RISK,low
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,4,3,4,4,Salaried,4038,1,Rents,51,64,87,0,200,10,100,100,RISK,low
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,2,2,1,1,Salaried,792,0,Owns,28,24,60,100,10,200,0,100,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,4,4,3,2,Salaried,4671,1,Rents,57,53,77,25,200,40,0,40,RISK,low
18,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,0,1,1,0,Hourly,170,0,Rents,9,4,8,15,10,20,10,20,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,0,1,0,Bonus,2951,0,Owns,4,0,4,1600,200,0,600,1600,RISK,low
18,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,4,3,4,3,Hourly,3561,1,Owns,51,56,75,10,20,15,10,15,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,2,4,4,4,Salaried,2240,1,Rents,59,74,85,70,100,80,50,70,RISK,low
20,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,1,1,1,0,Bonus,2793,1,Owns,9,9,1,100,30,50,10,100,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,1,2,2,0,Salaried,1012,1,Owns,15,13,50,15,80,20,40,80,RISK,low
4,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1,1,2,1,Salaried,1214,0,Owns,17,40,57,1500,1000,4000,6450,4000,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,0,Bonus,2909,1,Rents,3,4,5,200,0,600,1600,1600,RISK,low
15,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,0,1,1,1,Salaried,3042,1,Rents,1,4,5,50,70,80,70,50,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,2,3,2,1,Bonus,3149,0,Owns,17,29,55,200,40,25,0,40,RISK,low
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,1,1,0,0,Salaried,3352,1,Rents,1,9,1,10,0,200,100,200,RISK,low
18,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,2,0,2,1,Hourly,1593,0,Owns,5,13,27,10,15,20,10,20,RISK,low
16,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,3,1,1,2,Hourly,3735,1,Owns,34,33,56,0,50,75,30,50,RISK,low
10,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,1,0,1,0,Bonus,2951,0,Owns,11,11,30,60,100,120,0,120,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,0,1,2,0,Salaried,912,1,Rents,16,14,30,15,40,80,20,80,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,2,4,4,4,Salaried,3042,1,Rents,37,60,80,200,0,600,1600,600,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,3,1,1,1,Hourly,4826,0,Owns,25,35,73,25,0,40,200,40,RISK,low
20,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,0,1,1,1,Hourly,1019,1,Owns,8,10,2,10,50,30,100,100,RISK,low
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,0,0,0,1,Bonus,4027,1,Rents,3,4,3,200,10,0,100,200,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,0,1,0,0,Salaried,358,0,Rents,5,5,5,200,1600,600,0,1600,RISK,low
16,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,4,4,2,2,Bonus,2804,0,Owns,48,51,79,30,0,75,50,50,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,0,0,1,2,Hourly,1155,0,Rents,6,20,34,600,200,0,1600,1600,RISK,low
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,1,0,1,0,Bonus,4695,0,Owns,0,6,5,10,200,0,100,200,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,4,4,4,3,Salaried,83,1,Owns,40,75,77,100,80,50,70,70,RISK,low
5,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,1,2,0,1,Bonus,4199,0,Owns,14,17,32,6450,2000,4000,1500,6450,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,1,Bonus,861,0,Owns,8,2,25,1600,0,600,200,1600,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,3,4,4,2,Salaried,1012,1,Owns,58,56,100,40,0,200,25,40,RISK,low
14,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,0,2,1,2,Salaried,4555,0,Rents,8,12,35,90,100,95,80,80,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,0,0,1,0,Bonus,3179,0,Rents,2,2,0,600,200,1600,0,1600,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,3,2,4,3,Hourly,2299,1,Owns,54,64,80,70,50,80,100,70,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,1,2,0,2,Salaried,3601,0,Owns,6,14,29,80,20,40,15,80,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,0,0,1,0,Salaried,4592,1,Rents,9,7,9,0,200,25,40,200,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,0,1,0,0,Salaried,358,0,Rents,5,5,5,25,40,0,200,200,RISK,low
18,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,0,1,0,0,Hourly,3337,0,Rents,1,9,4,20,15,10,10,20,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,3,1,2,Bonus,2294,1,Owns,25,47,55,50,80,100,70,70,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,1,0,0,0,Bonus,3757,0,Rents,1,2,0,1600,200,0,600,1600,RISK,low
18,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,0,0,1,2,Hourly,1155,0,Rents,6,20,34,10,20,10,15,20,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,0,1,0,Salaried,2852,1,Rents,6,16,31,50,70,80,100,50,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,4,4,2,4,Bonus,4623,1,Owns,40,73,76,1600,600,0,200,600,RISK,low
5,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,1,3,3,2,Salaried,3954,0,Owns,17,23,53,1500,6450,2000,4000,4000,RISK,low
20,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,0,1,0,0,Hourly,2246,0,Owns,9,4,8,100,30,50,10,100,RISK,low
14,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,2,2,3,2,Salaried,1622,1,Rents,21,24,60,90,95,100,80,90,RISK,low
14,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,2,2,1,1,Bonus,2804,0,Owns,26,20,55,80,90,95,100,90,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,0,1,1,Salaried,4038,1,Rents,5,5,12,100,80,50,70,50,RISK,low
4,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,0,1,1,2,Salaried,3990,0,Rents,13,12,28,4000,6450,1500,1000,6450,RISK,low
5,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,1,2,0,0,Hourly,1178,0,Owns,5,12,39,6450,2000,4000,1500,6450,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,2,3,1,1,Hourly,2246,0,Owns,38,31,59,40,25,0,200,40,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,4,3,4,2,Salaried,1366,0,Owns,56,61,80,60,80,70,50,60,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,1,0,1,0,Hourly,3252,1,Owns,4,1,9,15,40,80,20,80,RISK,low
5,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,2,1,3,1,Salaried,1855,0,Rents,39,49,60,6450,1500,4000,2000,4000,RISK,low
10,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,1,1,1,0,Bonus,2793,1,Owns,9,9,1,100,120,60,0,120,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,0,1,0,Bonus,2951,0,Owns,11,11,30,80,60,70,50,50,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,1,0,0,Salaried,3352,1,Rents,1,9,1,70,50,60,80,50,RISK,low
10,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,4,3,3,4,Salaried,4138,0,Owns,62,55,76,100,60,0,120,100,RISK,low
14,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,3,3,3,4,Bonus,4027,1,Rents,43,60,78,95,100,80,90,90,RISK,low
18,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,1,0,0,0,Hourly,3735,1,Owns,8,4,5,10,10,15,20,20,RISK,low
18,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,4,3,4,4,Bonus,3757,0,Rents,38,56,75,15,10,20,10,15,RISK,low
20,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,1,1,0,0,Bonus,3643,0,Rents,16,13,50,30,100,10,50,100,RISK,low
16,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,3,1,3,1,Hourly,1593,0,Owns,16,25,52,75,30,0,50,50,RISK,low
4,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,3,1,3,1,Salaried,1366,0,Owns,32,33,56,6450,1500,4000,1000,4000,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,4,2,4,2,Hourly,2250,0,Owns,48,68,84,600,0,1600,200,600,RISK,low
11,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,0,0,0,0,Bonus,2363,1,Rents,6,5,5,100,0,200,10,200,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,0,1,0,0,Hourly,3337,0,Rents,1,9,4,20,40,15,80,80,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,1,0,0,Bonus,2639,0,Rents,5,14,29,1600,200,0,600,1600,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,4,3,2,3,Hourly,3735,1,Owns,58,61,80,200,1600,600,0,600,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,0,1,0,0,Hourly,4519,1,Owns,4,10,2,60,70,80,50,50,RISK,low
14,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,2,0,1,2,Bonus,2742,0,Owns,17,20,28,100,80,95,90,80,RISK,low
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,4,3,3,4,Hourly,874,0,Owns,63,68,84,600,1600,200,0,600,RISK,low
